trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
48	0.5	4	0	+	7.5	3.75	0.9	1	0
30	0.5	4	0	-	5.5	2.75	0.9	2	0
5	0.5	4	0	-	2.5	1.25	0.9	3	0
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	4	0
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	5	0
27	0.5	4	0	+	5.0	2.5	0.9	6	0
37	0.5	4	0	-	6.5	3.25	0.6	7	0
53	0.5	4	0	-	8.5	4.25	0.75	8	0
10	0.5	4	0	-	3.0	1.5	0.9	9	0
15	0.5	4	0	+	3.5	1.75	0.3	10	0
28	0.5	4	0	+	5.0	2.5	0.44999999999999996	11	0
6	0.5	4	0	-	2.5	1.25	0.75	12	0
16	0.5	4	0	+	3.5	1.75	0.9	13	0
49	0.5	4	0	-	8.0	4.0	0.3	14	0
55	0.5	4	0	+	8.5	4.25	0.9	15	0
41	0.5	4	0	-	7.0	3.5	0.75	16	0
45	0.5	4	0	-	7.5	3.75	0.75	17	0
36	0.5	4	0	+	6.0	3.0	0.9	18	0
50	0.5	4	0	-	8.0	4.0	0.6	19	0
35	0.5	4	0	+	6.0	3.0	0.9	20	0
51	0.5	4	0	+	8.0	4.0	0.6	21	0
23	0.5	4	0	+	4.5	2.25	0.6	22	0
44	0.5	4	0	+	7.0	3.5	0.3	23	0
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	24	0
26	0.5	4	0	-	5.0	2.5	0.9	25	0
34	0.5	4	0	-	6.0	3.0	0.3	26	0
1	0.5	4	0	-	2.0	1.0	0.44999999999999996	27	0
40	0.5	4	0	+	6.5	3.25	0.6	28	0
21	0.5	4	0	-	4.5	2.25	0.6	29	0
12	0.5	4	0	+	3.0	1.5	0.9	30	0
4	0.5	4	0	+	2.0	1.0	0.75	31	0
22	0.5	4	0	-	4.5	2.25	0.3	32	0
18	0.5	4	0	-	4.0	2.0	0.9	33	0
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	34	0
25	0.5	4	0	-	5.0	2.5	0.75	35	0
31	0.5	4	0	+	5.5	2.75	0.75	36	0
2	0.5	4	0	-	2.0	1.0	0.75	37	0
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	38	0
9	0.5	4	0	-	3.0	1.5	0.9	39	0
13	0.5	4	0	-	3.5	1.75	0.6	40	0
20	0.5	4	0	+	4.0	2.0	0.9	41	0
32	0.5	4	0	+	5.5	2.75	0.6	42	0
43	0.5	4	0	+	7.0	3.5	0.75	43	0
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	44	0
39	0.5	4	0	+	6.5	3.25	0.75	45	0
3	0.5	4	0	+	2.0	1.0	0.9	46	0
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	47	0
46	0.5	4	0	-	7.5	3.75	0.6	48	0
19	0.5	4	0	+	4.0	2.0	0.75	49	0
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	50	0
47	0.5	4	0	+	7.5	3.75	0.9	51	0
11	0.5	4	0	+	3.0	1.5	0.3	52	0
