response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change
v	1	14.883746527000767	2.5387029029989208	2.8563816400001087	0	0.19648436199895514	3.205568678000418	2.990303770000537
n	2	19.620060234001357	0.34616476699920895	0.6525695119999	0	0.1200818849974894	1.001808301998608	-19.620060234001357
n	3	22.15238687300007	0.36505091700018966	0.6861277549996885	0	0.14636219699968933	1.0353465940006572	-22.15238687300007
v	4	24.71825741900102	0.5917283719991246	0.9027033869988372	0	0.2438457730004302	1.2519214889998693	0.9361227480003436
n	5	27.500467212999865	0.11339230500016129	0.41979866700057755	0	0.184542816999965	0.7523396920005325	0.353175985001144
v	6	30.50831812300021	0.3463328480011114	0.6608904630011239	0	0.12767676399744232	0.9934947510009806	-30.50831812300021
v	7	33.75720894300139	0.20834474199909891	0.5277232849985012	0	0.1323855739992723	0.8769781119990512	-33.75720894300139
n	8	36.16458556700127	0.1849869019988546	0.5029594099996757	0	0.19739291699806927	0.8354815319999034	0.6374071269983688
n	9	39.255474903000504	0.5982409009993717	0.9110465949997888	0	0.1546013729985134	1.2601674310008093	-39.255474903000504
n	10	42.046368442999665	0.2395677100012108	0.5526441760011949	0	0.3700050489987916	0.9023851720012317	0.4861047860013059
v	11	44.47896891500022	0.3108394209994003	0.6193746919998375	0	0.22286747900034243	0.9518363870010944	0.6194041140006448
n	12	47.686481859000196	0.29587060599988035	0.6107562920005876	0	0.11993147699831752	0.9432899700004782	-47.686481859000196
v	13	50.88517692500136	0.2098896949992195	0.5277496899998368	0	0.14029829699757101	0.8602799269992829	0.6611118619985064
n	14	54.0008890980007	0.12599458600016078	0.4445058199999039	0	0.13226115399811533	0.7936022069989122	0.47784445400066033
v	15	56.32497716200123	0.04104426699996111	0.353044872999817	0	0.1394045829983952	0.6855386879997241	-56.32497716200123
n	16	59.26587584400113	0.3172064270002011	0.6278990819992032	0	0.19559379699967394	0.9603040919992054	0.5953023739984928
v	17	62.481579821000196	0.2764213469999959	0.5943923720005841	0	0.14953137999873434	0.9270005090002087	-62.481579821000196
n	18	65.66359966300115	0.18257533499854617	0.4947109979984816	0	0.24314422700081195	0.8439248939994286	0.6280507149986079
v	19	68.03813815400099	0.031851185000050464	0.35281570999904943	0	0.1225624999988213	0.7020694530001492	0.4528166729996883
v	20	70.27040149599998	1.0891345260006347	1.4028582150003786	0	0.112302452998847	1.7520456250003917	-70.27040149599998
n	21	73.55314454099971	0.15760823200071172	0.46938813400083745	0	0.1551507229996787	0.8186407299999701	0.5360816580014216
v	22	75.90203164900049	0.23301692499990168	0.5530892810002115	0	0.13058451699907891	0.8857207960008964	0.6530995060002169
n	23	79.04311723700084	0.21218261099966185	0.5277100250004878	0	0.25485477699839976	0.8768862979995902	-79.04311723700084
v	24	81.45036008399984	0.10081874900060939	0.4197213000006741	0	0.37960982699951273	0.7695561300006375	-81.45036008399984
n	25	83.7498809990011	0.1933244649990229	0.5031896279997454	0	0.22891257999799564	0.8353323569990607	-83.7498809990011
n	26	86.84089619100087	0.1428366799991636	0.46097578199987765	0	0.14867043599952012	0.8100837080000929	0.6272377379991667
v	27	89.18133915600083	0.17843286899915256	0.4863855749990762	0	0.09414052099964465	0.8188635429996793	0.5874905439995928
v	28	92.25631754999995	0.1345433780006715	0.4441675750003924	0	0.18935629899897322	0.7762575960005051	-92.25631754999995
v	29	95.28823801500039	0.2873094709993893	0.5941785279992473	0	0.15189645099962945	0.9266747319998103	-95.28823801500039
n	30	98.47025576099986	0.3844312680012081	0.6944148270013102	0	0.11736750099771598	1.0436900010008685	0.6611821020014759
v	31	101.04437467400021	0.13871878499958257	0.4528758550004568	0	0.10477382899807708	0.8020832790007262	-101.04437467400021
v	32	103.37665937600104	0.19113843699960853	0.5032294539996656	0	0.11439708499892731	0.852445821999936	-103.37665937600104
n	33	105.75960930600013	0.04840701499961142	0.3697002839999186	0	0.12083802300003299	0.702148942000349	0.36972898699968937
n	34	108.71794362800028	0.20181266300096468	0.5102573429994663	0	0.24598135300038848	0.8428467730009288	-108.71794362800028
v	35	111.81647152799997	0.33436725700084935	0.6440578060010012	0	0.1896830259993294	0.9932527860000846	-111.81647152799997
n	36	114.3401282900013	0.2434952899984637	0.5529767799998808	0	0.1971135219991993	0.885522062999371	0.5530051489986363
v	37	117.48122632500053	0.30227486500007217	0.6108569070001977	0	0.158222730999114	0.9433989040007873	0.7779582410003059
