response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal
v	1	14.32483575399965	1.024508713000614	1.3392532500001835	0	0.14488257499942847	1.6380236010008957
n	2	18.21774135799933	0.3087526880008227	0.6284552670003904	0	0.15481322400046338	0.9273987150008907
v	3	21.40042863800045	0.34885907899843005	0.6615782299995772	0	0.13125545999901078	0.9772175059988513
n	4	23.908222344000023	0.04215011999986018	0.35358089600049425	0	0.186896628998511	0.6687864439991245
v	5	26.107997881999836	0.2664972229995328	0.586083645999679	0	0.13063383400003659	0.8849298469995119
n	6	29.247075731998848	0.2877065520005999	0.5960025809999934	0	0.09406507099993178	0.9114707570006431
v	7	31.689511287999267	0.11753340300128912	0.43618011100079457	0	0.14772842899947136	0.7349665060010011
v	8	34.67890783399889	0.2709478670003591	0.5791351810003107	0	0.1272923129999981	0.8774328760009666
n	9	37.81131557799927	0.3233413730013126	0.6462514249997184	0	0.1277214140009164	0.944436535000932
v	10	41.01068225000017	0.2834400680003455	0.5951169379986823	0	0.1316383900011715	0.9108068379991892
v	11	43.451735745000406	0.28990438699838705	0.6034375909985101	0	0.11446362500100804	0.9193937359996198
n	12	45.90214217999892	0.055515011999887065	0.36896484200042323	0	0.09822900200015283	0.685047218001273
v	13	48.118269560000044	0.18480062399976305	0.5022022319990356	0	0.14105256900074892	0.817540611998993
n	14	50.466947936	0.22672924300059094	0.5362656799989054	0	0.1025201010015735	0.8521173150002141
n	15	52.85016658600034	0.24371984800018254	0.5520748359995196	0	0.13532940100049018	0.8509212539993314
v	16	55.9561701549992	0.18670178600041254	0.49517801300135034	0	0.11026298899923859	0.7941729699996358
n	17	59.00521205199948	0.616980902999785	0.9285396190007305	0	0.180123972999354	1.2273470250001992
v	18	62.487725687999045	0.26251112099998863	0.5787959890003549	0	0.12682652700095787	0.8771187960010138
v	19	65.61999598200055	0.2749577649992716	0.5952734349993989	0	0.11432554699968023	0.8938526369984174
v	20	68.7688579709993	0.2856692830009706	0.595269551000456	0	0.1253595559992391	0.9107390629997099
