response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
n	1	18.119981787998768	1.0178192640014458	1.3382999130008102	0	0.31434413399983896	1.6874953240003379	-18.119981787998768	['-']
v	2	21.33829465099916	0.5354793450005673	0.852468979999685	0	0.1258523350006726	1.201668535999488	1.0188210979995347	+
n	3	24.070992115999616	0.2982295099991461	0.6189987369998562	0	0.11497167699963029	0.9682022550005058	0.7190375499994843	-
v	4	26.571081554999182	0.2857542590008961	0.6014571020004951	0	0.16009572799885063	0.9340037840011064	-26.571081554999182	['-']
n	5	29.76104133300032	0.2962277479982731	0.6105075870000292	0	0.1371899179994216	0.9597071849984786	0.6105340759986575	-
v	6	32.25109277699994	0.4224489119987993	0.7365428779994545	0	0.17715275299997302	1.0855135239999072	-32.25109277699994	['+']
n	7	34.8671741119997	0.5436686880002526	0.8527016400003049	0	0.22883272299986857	1.185257642000579	-34.8671741119997	['+']
v	8	38.30872501399972	0.43723254799988354	0.7435272509992501	0	0.12065185800020117	1.0759902839999995	0.6768161479994887	-
v	9	41.641108171999804	0.3286675330000435	0.6433877629988274	0	0.15268682399982936	0.9759442849990592	0.8126358829995297	-
n	10	44.87315514900001	0.632622672999787	0.9435850459994981	0	0.13242500799970003	1.27615368700026	0.8769512259987096	+
v	11	48.40559170199958	0.2772287080006208	0.5940226790007728	0	0.13352132799809624	0.9260464409999258	0.6602037989996461	-
n	12	51.587813295998785	0.06328999800098245	0.37700148900148633	0	0.11227826899812499	0.7262078000003385	0.4103957420011284	-
v	13	53.84529710999959	0.36562446400057524	0.6854418059992895	0	0.13036258700049075	1.0345836039996357	0.7187983929998154	+
v	14	56.41061084099965	0.36757017399941105	0.6859318739989249	0	0.012742324999635457	1.018497209999623	-56.41061084099965	['-']
n	15	59.685676822999085	1.0138062630012428	1.3263880430004065	0	0.16948426999988442	1.658867244999783	1.3930927430010343	+
n	16	63.60099709499991	0.849851277000198	1.159848453999075	0	0.15641004700046324	1.509055475000423	-63.60099709499991	['-']
v	17	66.64063532	0.9134830709990638	1.2192627699987497	0	0.1798505610004213	1.5684541209993768	-66.64063532	['+']
v	18	69.7397417659995	0.5505446339993796	0.8694290749990614	0	0.2922084370002267	1.2184644329990988	1.002618825999889	+
n	19	72.48871877300007	0.5298898860000918	0.8361259299999801	0	0.13659309199829295	1.1686732979997032	0.8361534979994758	+
v	20	75.91360476299997	0.3778067530001863	0.6935276359999989	0	0.1263533589990402	1.0260949499988783	-75.91360476299997	['-']
n	21	79.19657585299865	0.4704556610013242	0.776177916000961	0	0.1128114330003882	1.1253940850001527	0.9092247650005447	-
v	22	81.85292262599978	0.3256421419991966	0.6362029020001501	0	0.07645856799899775	0.9682860180000716	-81.85292262599978	['-']
v	23	85.07741994999924	0.37389783800063014	0.6935130719994049	0	0.16272156100058055	1.0261171849997481	-85.07741994999924	['-']
n	24	88.35976059899986	0.3466146549999394	0.6602194440001767	0	0.16173088099822053	0.9927629109988629	-88.35976059899986	['+']
v	25	91.60843465299877	1.1544053699999495	1.460307963001469	0	0.08103068899799837	1.80948434200036	-91.60843465299877	['+']
v	26	94.94860598699961	0.447433072999047	0.7692873020005209	0	0.1279355269998632	1.1017990000000282	0.7359823040005722	-
n	27	98.30650553799933	0.37653987600060645	0.6937179130000004	0	0.2456123510000907	1.0262428320002073	-98.30650553799933	['+']
v	28	101.5888197559998	0.2781150640003034	0.593746528000338	0	0.01558409599965671	0.9262279969989322	-101.5888197559998	['-']
n	29	104.77189626600011	0.35924578399863094	0.6762959219995537	0	0.19810911799868336	1.0088349179986835	-104.77189626600011	['+']
v	30	108.0368451839986	0.5752165789999708	0.8935700609999913	0	0.07567833100074495	1.2427843000004941	-108.0368451839986	['+']
n	31	110.81010669999887	0.31297890300083964	0.6195168169997487	0	0.040470949999871664	0.9521223419997114	0.5862199740004144	+
v	32	114.01813769799992	0.897028056999261	1.2103154609994817	0	0.12178185999982816	1.5595658969996293	1.3104387690000294	+
