trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change	change_loc	trial_nr	block
39	0.5	5	1	-	9	4.5	0.44999999999999996	1	-7	1	0
45	0.5	5	1	-	9	4.5	0.9	0	0	2	0
46	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	3	0
4	0.5	5	1	-	9	4.5	0.6	1	-4	4	0
33	0.5	5	1	-	9	4.5	0.44999999999999996	1	-1	5	0
47	0.5	5	1	-	9	4.5	0.9	0	0	6	0
62	0.5	5	1	+	9	4.5	0.44999999999999996	0	0	7	0
7	0.5	5	1	-	9	4.5	0.3	1	-7	8	0
14	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	9	0
1	0.5	5	1	-	9	4.5	0.3	1	-1	10	0
19	0.5	5	1	+	9	4.5	0.75	1	-3	11	0
30	0.5	5	1	+	9	4.5	0.9	0	0	12	0
55	0.5	5	1	+	9	4.5	0.44999999999999996	1	-7	13	0
52	0.5	5	1	+	9	4.5	0.75	1	-4	14	0
16	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	15	0
34	0.5	5	1	-	9	4.5	0.9	1	-2	16	0
44	0.5	5	1	-	9	4.5	0.44999999999999996	0	0	17	0
23	0.5	5	1	+	9	4.5	0.6	1	-7	18	0
38	0.5	5	1	-	9	4.5	0.6	1	-6	19	0
59	0.5	5	1	+	9	4.5	0.75	0	0	20	0
53	0.5	5	1	+	9	4.5	0.9	1	-5	21	0
22	0.5	5	1	+	9	4.5	0.6	1	-6	22	0
11	0.5	5	1	-	9	4.5	0.75	0	0	23	0
15	0.5	5	1	-	9	4.5	0.75	0	0	24	0
27	0.5	5	1	+	9	4.5	0.9	0	0	25	0
56	0.5	5	1	+	9	4.5	0.9	1	-8	26	0
54	0.5	5	1	+	9	4.5	0.3	1	-6	27	0
12	0.5	5	1	-	9	4.5	0.75	0	0	28	0
48	0.5	5	1	-	9	4.5	0.3	0	0	29	0
50	0.5	5	1	+	9	4.5	0.6	1	-2	30	0
25	0.5	5	1	+	9	4.5	0.3	0	0	31	0
31	0.5	5	1	+	9	4.5	0.9	0	0	32	0
35	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	33	0
63	0.5	5	1	+	9	4.5	0.3	0	0	34	0
26	0.5	5	1	+	9	4.5	0.9	0	0	35	0
3	0.5	5	1	-	9	4.5	0.44999999999999996	1	-3	36	0
24	0.5	5	1	+	9	4.5	0.6	1	-8	37	0
29	0.5	5	1	+	9	4.5	0.6	0	0	38	0
64	0.5	5	1	+	9	4.5	0.6	0	0	39	0
21	0.5	5	1	+	9	4.5	0.44999999999999996	1	-5	40	0
6	0.5	5	1	-	9	4.5	0.3	1	-6	41	0
51	0.5	5	1	+	9	4.5	0.9	1	-3	42	0
2	0.5	5	1	-	9	4.5	0.44999999999999996	1	-2	43	0
37	0.5	5	1	-	9	4.5	0.75	1	-5	44	0
