response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	rev_sign
v	1	22.736981361000062	5.176143006999837	5.489694925999856	0	0.23091182999996818	5.8388191519998145	5.656373384999824	+
n	2	30.106604944000082	0.33197380599995086	0.6526391969998713	0	0.10637319500006015	1.0017539309999393	0.7192593029999443	-
v	3	32.638748631	0.31328196000004027	0.6196602590000566	0	0.11137214299992593	0.9521605329998692	-32.638748631	['-']
n	4	35.84672180200005	0.20819145499990555	0.5274077449998913	0	0.19572419599990099	0.8599177839998902	0.5274349740000162	+
[]	5	38.96251915900007	0.3169852749999791	0.6273257259999809	0	-39.58984488500005	0.9769997509999939	0.6606856739999785	-
n	6	41.469907252999974	0.11351943499994377	0.41915000299991334	0	0.13679298700003528	0.7516589409999597	-41.469907252999974	['+']
n	7	44.47723966900003	0.2417084920000434	0.5607857170000443	0	0.14811845499980336	0.9100128369998401	-44.47723966900003	['-']
[]	8	46.918302148000066	0.08828836099996806	0.40239851599994836	0	-47.320700664000015	0.7520981319999009	0.5023814659998607	-
v	9	49.200888476000046	0.20577678799986643	0.5190094449999378	0	0.13014052099993023	0.8516214579999541	-49.200888476000046	['-']
n	10	52.30856606799989	0.21012756300001456	0.5270414080000592	0	0.09447097299994311	0.8762360330001684	0.6933890669999982	-
n	11	54.71518165799989	0.1076308510000672	0.4197201680001399	0	0.42735838399994464	0.769518742000173	-54.71518165799989	['+']
v	12	57.01451745400004	0.2562952339999356	0.5697503330000018	0	0.0739943769999627	0.9188349519999974	0.702599864999911	+
n	13	59.46440071300003	0.11127052999995612	0.41904460899991136	0	0.10299164299999575	0.7682424059998993	0.41907122199995683	-
v	14	61.76307227500001	0.06798230499998681	0.3864780100000189	0	0.09262827999987167	0.7188760530000309	-61.76307227500001	['-']
v	15	64.73791355999992	0.2211536970000907	0.5272863019999932	0	0.0331794930000342	0.876394375000018	-64.73791355999992	['+']
n	16	67.1448257479999	0.2462767330000588	0.5529004960001203	0	0.03272005199983141	0.885395403000075	0.6191999750001287	+
v	17	70.2862974709999	0.32958600699998897	0.6437490220000655	0	0.08029035599997769	0.992945182000085	-70.2862974709999	['+']
v	18	72.81009965999988	0.15760248800006593	0.46925953400000253	0	0.10703230900003291	0.8017500290000044	0.4025943100000404	-
n	19	75.86772782100002	0.3003640709998763	0.6105542420000347	0	0.0841728969999167	0.9597780550000152	-75.86772782100002	['-']
v	20	78.35832533500002	0.241427849000047	0.5526040539998576	0	0.09156750200008901	0.885112774999925	-78.35832533500002	['-']
n	21	81.49941266799988	0.2359516750000239	0.5438920130000042	0	0.07124588700003187	0.8930204630000844	0.5105242470001485	-
v	22	83.92312222700002	0.004487034000021595	0.3196579909999855	0	0.07983608099993944	0.6519634579999547	0.4524071589999039	-
v	23	86.83159809499989	0.19189698400009547	0.5099982070000806	0	0.03707472599990069	0.8591980090000106	0.443384326000114	+
v	24	89.22113871300007	0.2268397539999114	0.5364012000000002	0	0.09314931199992316	0.8855907439999555	-89.22113871300007	['+']
v	25	91.63717421499996	0.3066863490000742	0.619725353999911	0	0.09813239300001442	0.9687905979999414	-91.63717421499996	['+']
n	26	94.1363359479999	0.23122777399998995	0.5530110710001281	0	0.04153505299996141	0.8855353300000388	-94.1363359479999	['+']
n	27	97.27825477099987	0.28970766700012973	0.6101663300000837	0	0.0028427649999684945	0.9426692170000024	0.5768208000001778	+
n	28	100.4768295639999	0.2438428269999804	0.5606054480001603	0	0.0615764119997948	0.8930810179999753	-100.4768295639999	['+']
n	29	103.62573249000002	0.07001015199989524	0.37832656299997325	0	0.1109610389999034	0.7099255389998689	0.4108035790000031	+
n	30	106.59182648299998	0.09678143099995395	0.4103730799999994	0	0.056889827999839326	0.7595913939999264	-106.59182648299998	['-']
v	31	108.881871004	0.030003875999909724	0.33637832099998377	0	0.08888849300001311	0.6688534469999468	-108.881871004	['-']
v	32	111.80652603999988	0.09051127800012182	0.41078053100000034	0	0.01791503599997668	0.759950635999985	0.5104198710000674	+
