trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
16	0.5	5	1	+	9	5	0.6	-8	1	0
25	0.5	5	1	+	9	5	0.75	-1	2	0
13	0.5	5	1	+	9	5	0.3	-5	3	0
28	0.5	5	1	+	9	5	0.3	-4	4	0
14	0.5	5	1	+	9	5	0.9	-6	5	0
4	0.5	5	1	-	9	5	0.9	-4	6	0
22	0.5	5	1	-	9	5	0.6	-6	7	0
20	0.5	5	1	-	9	5	0.9	-4	8	0
8	0.5	5	1	-	9	5	0.3	-8	9	0
23	0.5	5	1	-	9	5	0.44999999999999996	-7	10	0
15	0.5	5	1	+	9	5	0.9	-7	11	0
17	0.5	5	1	-	9	5	0.44999999999999996	-1	12	0
6	0.5	5	1	-	9	5	0.3	-6	13	0
9	0.5	5	1	+	9	5	0.3	-1	14	0
12	0.5	5	1	+	9	5	0.75	-4	15	0
21	0.5	5	1	-	9	5	0.75	-5	16	0
30	0.5	5	1	+	9	5	0.44999999999999996	-6	17	0
11	0.5	5	1	+	9	5	0.3	-3	18	0
19	0.5	5	1	-	9	5	0.3	-3	19	0
26	0.5	5	1	+	9	5	0.6	-2	20	0
32	0.5	5	1	+	9	5	0.75	-8	21	0
1	0.5	5	1	-	9	5	0.44999999999999996	-1	22	0
24	0.5	5	1	-	9	5	0.44999999999999996	-8	23	0
18	0.5	5	1	-	9	5	0.9	-2	24	0
3	0.5	5	1	-	9	5	0.3	-3	25	0
5	0.5	5	1	-	9	5	0.44999999999999996	-5	26	0
27	0.5	5	1	+	9	5	0.44999999999999996	-3	27	0
29	0.5	5	1	+	9	5	0.9	-5	28	0
2	0.5	5	1	-	9	5	0.44999999999999996	-2	29	0
7	0.5	5	1	-	9	5	0.9	-7	30	0
10	0.5	5	1	+	9	5	0.75	-2	31	0
31	0.5	5	1	+	9	5	0.6	-7	32	0
20	0.5	5	1	-	9	5	0.9	-4	1	1
27	0.5	5	1	+	9	5	0.44999999999999996	-3	2	1
26	0.5	5	1	+	9	5	0.6	-2	3	1
24	0.5	5	1	-	9	5	0.44999999999999996	-8	4	1
21	0.5	5	1	-	9	5	0.75	-5	5	1
31	0.5	5	1	+	9	5	0.6	-7	6	1
22	0.5	5	1	-	9	5	0.6	-6	7	1
7	0.5	5	1	-	9	5	0.9	-7	8	1
1	0.5	5	1	-	9	5	0.44999999999999996	-1	9	1
18	0.5	5	1	-	9	5	0.9	-2	10	1
29	0.5	5	1	+	9	5	0.9	-5	11	1
10	0.5	5	1	+	9	5	0.75	-2	12	1
3	0.5	5	1	-	9	5	0.3	-3	13	1
6	0.5	5	1	-	9	5	0.3	-6	14	1
19	0.5	5	1	-	9	5	0.3	-3	15	1
25	0.5	5	1	+	9	5	0.75	-1	16	1
13	0.5	5	1	+	9	5	0.3	-5	17	1
16	0.5	5	1	+	9	5	0.6	-8	18	1
4	0.5	5	1	-	9	5	0.9	-4	19	1
28	0.5	5	1	+	9	5	0.3	-4	20	1
23	0.5	5	1	-	9	5	0.44999999999999996	-7	21	1
9	0.5	5	1	+	9	5	0.3	-1	22	1
14	0.5	5	1	+	9	5	0.9	-6	23	1
2	0.5	5	1	-	9	5	0.44999999999999996	-2	24	1
5	0.5	5	1	-	9	5	0.44999999999999996	-5	25	1
32	0.5	5	1	+	9	5	0.75	-8	26	1
12	0.5	5	1	+	9	5	0.75	-4	27	1
15	0.5	5	1	+	9	5	0.9	-7	28	1
8	0.5	5	1	-	9	5	0.3	-8	29	1
11	0.5	5	1	+	9	5	0.3	-3	30	1
17	0.5	5	1	-	9	5	0.44999999999999996	-1	31	1
30	0.5	5	1	+	9	5	0.44999999999999996	-6	32	1
22	0.5	5	1	-	9	5	0.6	-6	1	2
4	0.5	5	1	-	9	5	0.9	-4	2	2
15	0.5	5	1	+	9	5	0.9	-7	3	2
11	0.5	5	1	+	9	5	0.3	-3	4	2
27	0.5	5	1	+	9	5	0.44999999999999996	-3	5	2
16	0.5	5	1	+	9	5	0.6	-8	6	2
14	0.5	5	1	+	9	5	0.9	-6	7	2
7	0.5	5	1	-	9	5	0.9	-7	8	2
31	0.5	5	1	+	9	5	0.6	-7	9	2
29	0.5	5	1	+	9	5	0.9	-5	10	2
21	0.5	5	1	-	9	5	0.75	-5	11	2
20	0.5	5	1	-	9	5	0.9	-4	12	2
19	0.5	5	1	-	9	5	0.3	-3	13	2
18	0.5	5	1	-	9	5	0.9	-2	14	2
12	0.5	5	1	+	9	5	0.75	-4	15	2
2	0.5	5	1	-	9	5	0.44999999999999996	-2	16	2
6	0.5	5	1	-	9	5	0.3	-6	17	2
25	0.5	5	1	+	9	5	0.75	-1	18	2
24	0.5	5	1	-	9	5	0.44999999999999996	-8	19	2
10	0.5	5	1	+	9	5	0.75	-2	20	2
13	0.5	5	1	+	9	5	0.3	-5	21	2
5	0.5	5	1	-	9	5	0.44999999999999996	-5	22	2
9	0.5	5	1	+	9	5	0.3	-1	23	2
32	0.5	5	1	+	9	5	0.75	-8	24	2
23	0.5	5	1	-	9	5	0.44999999999999996	-7	25	2
28	0.5	5	1	+	9	5	0.3	-4	26	2
1	0.5	5	1	-	9	5	0.44999999999999996	-1	27	2
17	0.5	5	1	-	9	5	0.44999999999999996	-1	28	2
30	0.5	5	1	+	9	5	0.44999999999999996	-6	29	2
3	0.5	5	1	-	9	5	0.3	-3	30	2
8	0.5	5	1	-	9	5	0.3	-8	31	2
26	0.5	5	1	+	9	5	0.6	-2	32	2
15	0.5	5	1	+	9	5	0.9	-7	1	3
28	0.5	5	1	+	9	5	0.3	-4	2	3
8	0.5	5	1	-	9	5	0.3	-8	3	3
2	0.5	5	1	-	9	5	0.44999999999999996	-2	4	3
16	0.5	5	1	+	9	5	0.6	-8	5	3
32	0.5	5	1	+	9	5	0.75	-8	6	3
21	0.5	5	1	-	9	5	0.75	-5	7	3
11	0.5	5	1	+	9	5	0.3	-3	8	3
1	0.5	5	1	-	9	5	0.44999999999999996	-1	9	3
9	0.5	5	1	+	9	5	0.3	-1	10	3
6	0.5	5	1	-	9	5	0.3	-6	11	3
10	0.5	5	1	+	9	5	0.75	-2	12	3
18	0.5	5	1	-	9	5	0.9	-2	13	3
20	0.5	5	1	-	9	5	0.9	-4	14	3
5	0.5	5	1	-	9	5	0.44999999999999996	-5	15	3
29	0.5	5	1	+	9	5	0.9	-5	16	3
14	0.5	5	1	+	9	5	0.9	-6	17	3
19	0.5	5	1	-	9	5	0.3	-3	18	3
23	0.5	5	1	-	9	5	0.44999999999999996	-7	19	3
22	0.5	5	1	-	9	5	0.6	-6	20	3
12	0.5	5	1	+	9	5	0.75	-4	21	3
27	0.5	5	1	+	9	5	0.44999999999999996	-3	22	3
3	0.5	5	1	-	9	5	0.3	-3	23	3
17	0.5	5	1	-	9	5	0.44999999999999996	-1	24	3
31	0.5	5	1	+	9	5	0.6	-7	25	3
25	0.5	5	1	+	9	5	0.75	-1	26	3
24	0.5	5	1	-	9	5	0.44999999999999996	-8	27	3
26	0.5	5	1	+	9	5	0.6	-2	28	3
7	0.5	5	1	-	9	5	0.9	-7	29	3
4	0.5	5	1	-	9	5	0.9	-4	30	3
13	0.5	5	1	+	9	5	0.3	-5	31	3
30	0.5	5	1	+	9	5	0.44999999999999996	-6	32	3
13	0.5	5	1	+	9	5	0.3	-5	1	4
21	0.5	5	1	-	9	5	0.75	-5	2	4
30	0.5	5	1	+	9	5	0.44999999999999996	-6	3	4
18	0.5	5	1	-	9	5	0.9	-2	4	4
26	0.5	5	1	+	9	5	0.6	-2	5	4
12	0.5	5	1	+	9	5	0.75	-4	6	4
1	0.5	5	1	-	9	5	0.44999999999999996	-1	7	4
16	0.5	5	1	+	9	5	0.6	-8	8	4
6	0.5	5	1	-	9	5	0.3	-6	9	4
17	0.5	5	1	-	9	5	0.44999999999999996	-1	10	4
11	0.5	5	1	+	9	5	0.3	-3	11	4
14	0.5	5	1	+	9	5	0.9	-6	12	4
29	0.5	5	1	+	9	5	0.9	-5	13	4
19	0.5	5	1	-	9	5	0.3	-3	14	4
24	0.5	5	1	-	9	5	0.44999999999999996	-8	15	4
2	0.5	5	1	-	9	5	0.44999999999999996	-2	16	4
8	0.5	5	1	-	9	5	0.3	-8	17	4
4	0.5	5	1	-	9	5	0.9	-4	18	4
5	0.5	5	1	-	9	5	0.44999999999999996	-5	19	4
28	0.5	5	1	+	9	5	0.3	-4	20	4
31	0.5	5	1	+	9	5	0.6	-7	21	4
27	0.5	5	1	+	9	5	0.44999999999999996	-3	22	4
3	0.5	5	1	-	9	5	0.3	-3	23	4
32	0.5	5	1	+	9	5	0.75	-8	24	4
7	0.5	5	1	-	9	5	0.9	-7	25	4
23	0.5	5	1	-	9	5	0.44999999999999996	-7	26	4
9	0.5	5	1	+	9	5	0.3	-1	27	4
22	0.5	5	1	-	9	5	0.6	-6	28	4
25	0.5	5	1	+	9	5	0.75	-1	29	4
15	0.5	5	1	+	9	5	0.9	-7	30	4
20	0.5	5	1	-	9	5	0.9	-4	31	4
10	0.5	5	1	+	9	5	0.75	-2	32	4
9	0.5	5	1	+	9	5	0.3	-1	1	5
13	0.5	5	1	+	9	5	0.3	-5	2	5
19	0.5	5	1	-	9	5	0.3	-3	3	5
7	0.5	5	1	-	9	5	0.9	-7	4	5
10	0.5	5	1	+	9	5	0.75	-2	5	5
1	0.5	5	1	-	9	5	0.44999999999999996	-1	6	5
21	0.5	5	1	-	9	5	0.75	-5	7	5
29	0.5	5	1	+	9	5	0.9	-5	8	5
24	0.5	5	1	-	9	5	0.44999999999999996	-8	9	5
22	0.5	5	1	-	9	5	0.6	-6	10	5
30	0.5	5	1	+	9	5	0.44999999999999996	-6	11	5
14	0.5	5	1	+	9	5	0.9	-6	12	5
3	0.5	5	1	-	9	5	0.3	-3	13	5
25	0.5	5	1	+	9	5	0.75	-1	14	5
27	0.5	5	1	+	9	5	0.44999999999999996	-3	15	5
2	0.5	5	1	-	9	5	0.44999999999999996	-2	16	5
23	0.5	5	1	-	9	5	0.44999999999999996	-7	17	5
6	0.5	5	1	-	9	5	0.3	-6	18	5
32	0.5	5	1	+	9	5	0.75	-8	19	5
26	0.5	5	1	+	9	5	0.6	-2	20	5
