trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
11	0.5	5	1	+	9	5	0.75	-3	1	0
8	0.5	5	1	-	9	5	0.75	-8	2	0
3	0.5	5	1	-	9	5	0.6	-3	3	0
10	0.5	5	1	+	9	5	0.75	-2	4	0
1	0.5	5	1	-	9	5	0.6	-1	5	0
4	0.5	5	1	-	9	5	0.44999999999999996	-4	6	0
9	0.5	5	1	+	9	5	0.75	-1	7	0
6	0.5	5	1	-	9	5	0.44999999999999996	-6	8	0
13	0.5	5	1	+	9	5	0.44999999999999996	-5	9	0
12	0.5	5	1	+	9	5	0.44999999999999996	-4	10	0
7	0.5	5	1	-	9	5	0.44999999999999996	-7	11	0
16	0.5	5	1	+	9	5	0.6	-8	12	0
14	0.5	5	1	+	9	5	0.6	-6	13	0
5	0.5	5	1	-	9	5	0.44999999999999996	-5	14	0
2	0.5	5	1	-	9	5	0.44999999999999996	-2	15	0
15	0.5	5	1	+	9	5	0.6	-7	16	0
