trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
14	0.5	5	1	+	9	5	0.6	-6	1	0
16	0.5	5	1	+	9	5	0.44999999999999996	-8	2	0
9	0.5	5	1	+	9	5	0.9	-1	3	0
3	0.5	5	1	-	9	5	0.9	-3	4	0
12	0.5	5	1	+	9	5	0.44999999999999996	-4	5	0
5	0.5	5	1	-	9	5	0.75	-5	6	0
6	0.5	5	1	-	9	5	0.3	-6	7	0
2	0.5	5	1	-	9	5	0.44999999999999996	-2	8	0
13	0.5	5	1	+	9	5	0.6	-5	9	0
1	0.5	5	1	-	9	5	0.44999999999999996	-1	10	0
7	0.5	5	1	-	9	5	0.44999999999999996	-7	11	0
10	0.5	5	1	+	9	5	0.6	-2	12	0
11	0.5	5	1	+	9	5	0.9	-3	13	0
15	0.5	5	1	+	9	5	0.9	-7	14	0
4	0.5	5	1	-	9	5	0.75	-4	15	0
8	0.5	5	1	-	9	5	0.6	-8	16	0
