trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	change_loc	trial_nr	block
16	0.5	5	1	+	9	5	0.75	-8	1	0
2	0.5	5	1	-	9	5	0.3	-2	2	0
5	0.5	5	1	-	9	5	0.44999999999999996	-5	3	0
1	0.5	5	1	-	9	5	0.3	-1	4	0
10	0.5	5	1	+	9	5	0.3	-2	5	0
7	0.5	5	1	-	9	5	0.6	-7	6	0
9	0.5	5	1	+	9	5	0.6	-1	7	0
14	0.5	5	1	+	9	5	0.75	-6	8	0
8	0.5	5	1	-	9	5	0.75	-8	9	0
4	0.5	5	1	-	9	5	0.9	-4	10	0
15	0.5	5	1	+	9	5	0.44999999999999996	-7	11	0
11	0.5	5	1	+	9	5	0.75	-3	12	0
13	0.5	5	1	+	9	5	0.75	-5	13	0
12	0.5	5	1	+	9	5	0.3	-4	14	0
3	0.5	5	1	-	9	5	0.6	-3	15	0
6	0.5	5	1	-	9	5	0.44999999999999996	-6	16	0
