response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	12.508972051	14.049223339000037	14.800484955000229	0	15.07490424200023	15.179564568999922	15.11347232800017	[5]	0
b	2	16.91087797299997	17.13551719499992	17.887423083000158	0	18.139073953000207	18.278660090999892	18.26253213100017	[5]	
n	3	19.493231429999923	19.776535696999872	20.527802475000044	0	20.819133986999987	20.911190487000113	20.72878270000001	[-5]	0
n	4	22.642090342999836	22.711310998000044	23.462276931999895	0	23.803173878000052	23.84365886200021	23.777973678999842	[5]	1
v	5	25.57437902799984	25.712784904999808	26.463293423999858	0	26.691252239999812	26.84274256400022	26.577036373999817	[5]	0
n	6	28.573748282999986	28.865426553999896	29.61650641799997	0	29.85936297699982	30.008472106000227	29.992340072999923	[5]	1
v	7	31.73957215900009	31.82430000500017	32.574821192999934	0	32.81145004300015	32.95759722299999	32.89187048399981	[-5]	1
n	8	34.68867022199993	34.88799565699992	35.63876845799996	0	35.875537843000075	36.040033185000084	36.02388347800024	[-5]	0
v	9	37.77113553800018	38.000180897000064	38.75145078200012	0	38.963631022999834	39.12242112700005	39.056261864000135	[-5]	1
n	10	40.853736732000016	40.944165970000086	41.69536915700019	0	41.94771880899998	42.071552240000074	41.695873078000204	[-5]	0
v	11	43.80245919500021	43.83221867600014	44.5827608059999	0	44.89985453300005	44.95407156700003	44.68830158899982	[5]	0
v	12	46.68514097000025	46.77724917400019	47.52831711399995	0	47.74792560300011	47.91988233600023	47.903666537999925	[-5]	1
n	13	49.65136134100021	49.8570100070001	50.60786137600007	0	50.86001916399982	50.98558184500007	50.60834917000011	[5]	1
v	14	52.71696596799984	52.817519516000175	53.568850208000185	0	53.8042384700002	53.95140904300024	53.76894859499998	[5]	0
v	15	55.68244159100004	55.70546079299993	56.45782728899985	0	56.74828673000002	56.83383656500018	56.45831162000013	[-5]	1
n	16	58.56520346900015	58.68068986800017	59.43160667500024	0	59.70052269400003	59.81628892200024	59.733498472000065	[-5]	0
v	17	61.547251705000235	61.650130697999884	62.400671696000245	0	62.72436761500012	62.782069775999844	62.51633672100024	[-5]	1
n	18	64.51303547599991	64.74596975099985	65.49716642200019	0	65.80447120100007	65.88116412099998	65.69873544099983	[-5]	0
v	19	67.61220350900021	67.69827876499994	68.4491420899999	0	68.7245794989999	68.83032078299993	68.664533269	[-5]	1
b	20	70.5613033730001	70.64159132199984	71.39285262700014	0	71.69269303200008	71.79606420400023	71.77990366599988	[-5]	
v	21	73.01075163399992	73.31321033299992	74.06426046100023	0	74.300739411	74.445267006	74.37915066400001	[5]	0
n	22	76.17655536099983	76.28990214299984	77.04118856500008	0	77.31685212299999	77.4443741529999	77.42827066500013	[-5]	0
v	23	79.17551367900023	79.41067126600001	80.16195469500008	0	80.42893726200009	80.54351328299981	80.16245837999986	[-5]	1
v	24	82.2744523639999	82.41751146000024	83.168114349	0	83.46139725400008	83.55922202300007	83.5430455149999	[-5]	1
n	25	85.29002819800007	85.51438741399988	86.26516020400004	0	86.51713428999983	86.64170028399985	86.47587706800005	[5]	1
n	26	88.37309664399982	88.47385923899992	89.22495430200024	0	89.5255940789998	89.6074211109999	89.22544279500016	[5]	1
v	27	91.33859798200001	91.48176612599991	92.23289649900016	0	92.5734371110002	92.62318197600007	92.60702846899994	[-5]	1
n	28	94.35419263099993	94.57923419100007	95.33045191700012	0	95.58970931900012	95.70564545000025	95.53984466300017	[-5]	0
v	29	97.43694774300002	97.65116784100019	98.40200730200013	0	98.64557236700011	98.78804096800013	98.50573590100021	[-5]	1
v	30	100.51921028600009	100.56327158400018	101.31384817900016	0	101.55761432600002	101.68714808200002	101.42148152100026	[5]	0
n	31	103.41815197400001	103.47441333000006	104.22518916499985	0	104.46981719899986	104.61961530200006	104.60346776999995	[-5]	0
v	32	106.35079226800008	106.44343755699992	107.1945031350001	0	107.44579693200012	107.58540787499987	107.56926383100017	[5]	0
n	33	109.31668924999985	109.33128722599986	110.08237830000007	0	110.35786629299992	110.46799061999991	110.082867782	[5]	1
n	34	112.19884847899993	112.31438609199995	113.065509346	0	113.44595785599995	113.4516505040001	113.167927555	[5]	1
v	35	115.18143079799984	115.29047005199982	116.04100491500003	0	116.35807746499995	116.43276178399992	116.41660057299987	[5]	0
n	36	118.16387284299981	118.29180210100003	119.04252902300004	0	119.27016846300012	119.41523224699995	119.04301602700025	[-5]	0
n	37	121.14627173600002	121.2112676759998	121.96237732000009	0	122.23047847899988	122.36432682499981	122.34824059999983	[5]	1
n	38	124.09629392199986	124.2668285499999	125.01799067299999	0	125.33443923300001	125.39676810399988	125.01850222700023	[5]	1
n	39	127.12761747100012	127.17159886499985	127.92286119800019	0	128.1504915139999	128.29589159399984	128.03017355500015	[-5]	0
v	40	130.02727989100003	130.14669982399982	130.89777300800006	0	131.15858647000005	131.29506642900014	131.27894216999994	[5]	0
n	41	133.02613102800024	133.17935607300024	133.930507778	0	134.19066956899997	134.32743706700012	134.31135035800025	[5]	1
[]	42	136.05836218100012	136.08345276499995	136.8347802809999	0	0.0	137.21029448499985	137.14412853400017	[5]	na
v	43	138.94112508499984	138.99560348000023	139.7461995230001	0	139.998830818	140.125749283	139.9599590849998	[5]	0
n	44	141.85710249400017	141.93923977299983	142.68997604600008	0	142.96692405800013	143.074844795	142.99206710399994	[-5]	0
v	45	144.8059427190001	144.91550650699992	145.6660384500001	0	145.91101941099987	146.05728881899995	146.04114524900024	[-5]	1
n	46	147.7884019359999	147.9795033559999	148.73061130199994	0	148.9914231470002	149.10643946300024	148.84064489499997	[-5]	0
v	47	150.83755045199996	150.95703095	151.70815765999987	0	151.95126379400017	152.08883359799984	151.92318603700005	[5]	0
n	48	153.82002178499988	154.0596216140002	154.81083462700008	0	155.09536964400013	155.20455733400013	155.18879442300022	[5]	1
b	1	160.66107821900005	161.6998698100001	162.4511338430002	0	162.8160791979999	162.83568577000005	162.6531780260002	[5]	
n	2	164.0491448329999	164.29262673999983	165.04330205199994	0	165.26363814200022	165.43485384099995	165.41870512000014	[-5]	0
n	3	167.16531112500024	167.46129254200014	168.21231428700003	0	168.4317755950001	168.58393991699995	168.51786085100002	[5]	1
n	4	170.31435078000004	170.6376099099998	171.3882733280002	0	171.70384148499988	171.7663148659999	171.60055411800022	[5]	1
v	5	173.49674812800004	173.77389962300003	174.525136706	0	174.8399512000001	174.89872500799993	174.52562703000012	[-5]	1
n	6	176.62927081099997	176.684414543	177.4352933969999	0	177.7280564040002	177.831186678	177.81501456800015	[5]	1
v	7	179.56162492500016	179.6852308749999	180.43590619999986	0	180.75218145899998	180.83030024500022	180.81410229899984	[-5]	1
