response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
n	1	15.483156083999347	16.32559683099953	16.64571728699957	0	16.881941917000404	16.99495070499961	16.796191194999665	[-5]	0
n	2	18.525656811999397	19.39753824899981	19.711395775999335	0	19.848859249999805	20.043939901999693	19.76185808199989	[5]	1
n	3	21.774923282999225	22.04598536999947	22.360571038999296	0	22.528882833999887	22.70976002399948	22.494420441999864	[-5]	0
v	4	24.239952568999797	24.55070457599959	24.859778653999456	0	25.128903509999873	25.19233876999988	25.043567957999585	[-5]	1
n	5	26.92314421899937	28.583023630999378	28.891852300999744	0	29.049102257999948	29.224922995999805	29.07526581899947	[5]	1
v	6	30.955566191999424	51.999511316999815	52.31783348299996	0	52.52931752800032	52.66708794399983	52.385003601999415	[5]	0
n	7	54.19768416599982	54.2063388889992	54.51717794199976	0	54.737360068999806	54.866344408999794	54.66757930699987	[-5]	0
n	8	56.396708159999434	63.014082559999224	63.331143288999556	0	63.50509743400016	63.66358960999969	63.44818440799918	[5]	1
v	9	65.39423156299927	65.72631368699967	66.04691383099998	0	66.20953139999983	66.39606181799991	66.16398786299942	[5]	0
v	10	67.92624706799961	68.29442093999933	68.6127936189996	0	68.86563444500007	68.96200142999987	68.71317478999936	[5]	0
n	11	70.49253946799945	72.87092291199951	73.17844162599977	0	73.40163840000059	73.52716295099981	73.31176173499989	[-5]	0
v	12	75.05761841099957	75.70246901299925	76.01046307899924	0	76.15295127599984	76.35960158799935	76.14418734299943	[5]	0
n	13	77.89110173699919	95.27196367999932	95.58763726500001	0	95.76204973200038	95.93682577699929	95.75471904299957	[-5]	0
v	14	97.4670013469995	97.66271656399931	97.97020815399992	0	98.29799426400041	98.30419743399943	98.03751915499925	[-5]	1
v	15	100.03394870699958	100.39095047199953	100.70268789299917	0	100.83433998200053	101.05192919699948	100.86951815799966	[5]	0
n	16	102.58229210099944	103.63140777299941	103.95166801999949	0	104.11411652700008	104.30087457399986	104.13504624599955	[-5]	0
v	17	105.83136949999971	107.10304641699986	107.41725303699968	0	107.6021601299999	107.74977884099917	107.60110121799971	[-5]	1
n	18	109.48108944899923	109.63890888199967	109.94978258099945	0	110.12221406299977	110.29903075799939	110.03358063199994	[-5]	0
v	19	111.82967987599932	111.91170911099925	112.2324341529993	0	112.38629453000067	112.58172479099994	112.41591922499993	[5]	0
n	20	114.1120079379998	114.35148997399938	114.66499266699975	0	114.8822649370004	115.01423296899975	114.74882532299944	[-5]	0
v	21	116.54472714199983	116.65595932899942	116.96424719299921	0	117.13042843099993	117.2968005899993	117.01471053399928	[-5]	1
v	22	119.02799765799955	119.34303757199996	119.66347368900006	0	119.88238455300052	119.99595541500003	119.71387856399997	[-5]	1
v	23	121.72661318199971	121.76727825699982	122.07945223699971	0	122.30641374200059	122.41186352999921	122.17982468899936	[-5]	1
v	24	124.14312930399956	124.41632667199974	124.72852381899975	0	124.90645345900066	125.07770714699927	124.8789516479992	[5]	0
v	25	126.60850925299928	126.72011145299984	127.02777079999942	0	127.29052115400009	127.36033025699999	127.14493410699924	[-5]	1
n	26	129.09175612299987	129.2072492059997	129.5271792069998	0	129.69052804900002	129.87617857299938	129.71041759799937	[-5]	0
v	27	131.40681801699975	131.49523630299973	131.80962249999993	0	131.9705405169998	132.15884614099923	131.87687053699938	[5]	0
n	28	133.68972877599936	133.75140418799947	134.0589242649994	0	134.2586661710002	134.39145088999976	134.15951058099927	[5]	1
v	29	136.12289923199933	136.38331940699936	136.6914061439993	0	136.88264478700057	137.04062138599966	136.80855801899997	[5]	0
v	30	138.5716602399998	138.77545229999942	139.09068165200006	0	139.21068184400065	139.43986999199933	139.17453812999975	[5]	0
