response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
n	1	15.027690733782947	16.13471044623293	16.54120480210986	0	16.686064056586474	17.06887316191569	16.694027470308356	[-5]	0
v	2	18.80244134645909	19.33369364286773	19.73949296947103	0	20.110966627369635	20.24133851204533	19.790056443889625	[-5]	1
v	3	22.025105619453825	22.07709281577263	22.485090947011486	0	22.852126763551496	22.98462725209538	22.485824976698495	[-5]	1
n	4	24.768792985239998	25.29823483945802	25.70775686216075	0	26.02715711214114	26.205875192768872	25.910524745006114	[5]	1
n	5	27.941102744080126	28.192836724803783	28.603819006704725	0	29.102706330944784	29.080121714272536	28.55408685770817	[5]	0
v	6	30.861314791603945	31.06507985445205	31.47407147102058	0	31.718060440616682	31.995581043185666	31.72811427875422	[5]	0
n	7	33.73104793403763	33.985205279896036	34.39003944792785	0	34.78115250344854	34.890902179060504	34.49448759353254	[5]	1
v	8	36.651275581796654	36.92831428954378	37.33557469630614	0	37.58501018222887	37.836499828263186	37.537898384500295	[-5]	1
n	9	39.60161691787653	39.85204417805653	40.25648957316298	0	40.50566519284621	40.782239521155134	40.358170328545384	[-5]	0
v	10	42.4958858625032	42.99728392623365	43.40260457363911	0	43.626187683898024	43.902445082203485	43.65220132935792	[-5]	1
n	11	45.66355867253151	45.970143714686856	46.37589747237507	0	46.64761494460981	46.848514842102304	46.32566611748189	[-5]	0
n	12	48.6338793260511	48.913887405302376	49.31949337176047	0	49.7448155740276	49.81979654903989	49.371868930524215	[5]	1
n	13	51.60486791364383	51.68235278665088	52.09008940961212	0	52.482400394859724	52.58950173435733	52.09083000768442	[5]	1
v	14	54.374039408518	54.80171306419652	55.21062011132017	0	55.560239145648666	55.7362169312546	55.363811025978066	[5]	0
