trial	speed	ball_pos	distance	broad	jitter	gap_time	shift_pos	trial_nr	block
10	0.5	3	9	5	0.9	0.30000000000000004	5	1	0
36	0.5	3	9	5	0.75	0.5	5	2	0
15	0.5	3	9	5	0.6	0.2	-5	3	0
34	0.5	3	9	5	0.6	0.30000000000000004	5	4	0
32	0.5	3	9	5	0.75	0.1	5	5	0
24	0.5	3	9	5	0.44999999999999996	0.5	5	6	0
28	0.5	3	9	5	0.75	0.30000000000000004	-5	7	0
29	0.5	3	9	5	0.75	0.4	-5	8	0
16	0.5	3	9	5	0.9	0.30000000000000004	-5	9	0
37	0.5	3	9	5	0.3	0.0	-5	10	0
8	0.5	3	9	5	0.3	0.1	5	11	0
41	0.5	3	9	5	0.44999999999999996	0.4	-5	12	0
19	0.5	3	9	5	0.9	0.0	5	13	0
9	0.5	3	9	5	0.44999999999999996	0.2	5	14	0
1	0.5	3	9	5	0.75	0.0	-5	15	0
4	0.5	3	9	5	0.6	0.30000000000000004	-5	16	0
38	0.5	3	9	5	0.3	0.1	-5	17	0
39	0.5	3	9	5	0.6	0.2	-5	18	0
3	0.5	3	9	5	0.9	0.2	-5	19	0
17	0.5	3	9	5	0.9	0.4	-5	20	0
22	0.5	3	9	5	0.3	0.30000000000000004	5	21	0
30	0.5	3	9	5	0.75	0.5	-5	22	0
25	0.5	3	9	5	0.44999999999999996	0.0	-5	23	0
5	0.5	3	9	5	0.3	0.4	-5	24	0
45	0.5	3	9	5	0.3	0.2	5	25	0
7	0.5	3	9	5	0.75	0.0	5	26	0
18	0.5	3	9	5	0.9	0.5	-5	27	0
27	0.5	3	9	5	0.9	0.2	-5	28	0
2	0.5	3	9	5	0.6	0.1	-5	29	0
44	0.5	3	9	5	0.3	0.1	5	30	0
6	0.5	3	9	5	0.9	0.5	-5	31	0
35	0.5	3	9	5	0.3	0.4	5	32	0
31	0.5	3	9	5	0.9	0.0	5	33	0
20	0.5	3	9	5	0.3	0.1	5	34	0
23	0.5	3	9	5	0.75	0.4	5	35	0
13	0.5	3	9	5	0.75	0.0	-5	36	0
12	0.5	3	9	5	0.44999999999999996	0.5	5	37	0
43	0.5	3	9	5	0.6	0.0	5	38	0
26	0.5	3	9	5	0.9	0.1	-5	39	0
47	0.5	3	9	5	0.44999999999999996	0.4	5	40	0
11	0.5	3	9	5	0.75	0.4	5	41	0
46	0.5	3	9	5	0.6	0.30000000000000004	5	42	0
21	0.5	3	9	5	0.6	0.2	5	43	0
40	0.5	3	9	5	0.3	0.30000000000000004	-5	44	0
42	0.5	3	9	5	0.75	0.5	-5	45	0
14	0.5	3	9	5	0.75	0.1	-5	46	0
33	0.5	3	9	5	0.75	0.2	5	47	0
48	0.5	3	9	5	0.75	0.5	5	48	0
45	0.5	3	9	5	0.3	0.2	5	1	1
6	0.5	3	9	5	0.9	0.5	-5	2	1
46	0.5	3	9	5	0.6	0.30000000000000004	5	3	1
21	0.5	3	9	5	0.6	0.2	5	4	1
1	0.5	3	9	5	0.75	0.0	-5	5	1
36	0.5	3	9	5	0.75	0.5	5	6	1
29	0.5	3	9	5	0.75	0.4	-5	7	1
24	0.5	3	9	5	0.44999999999999996	0.5	5	8	1
8	0.5	3	9	5	0.3	0.1	5	9	1
32	0.5	3	9	5	0.75	0.1	5	10	1
44	0.5	3	9	5	0.3	0.1	5	11	1
38	0.5	3	9	5	0.3	0.1	-5	12	1
20	0.5	3	9	5	0.3	0.1	5	13	1
41	0.5	3	9	5	0.44999999999999996	0.4	-5	14	1
30	0.5	3	9	5	0.75	0.5	-5	15	1
23	0.5	3	9	5	0.75	0.4	5	16	1
48	0.5	3	9	5	0.75	0.5	5	17	1
43	0.5	3	9	5	0.6	0.0	5	18	1
19	0.5	3	9	5	0.9	0.0	5	19	1
16	0.5	3	9	5	0.9	0.30000000000000004	-5	20	1
31	0.5	3	9	5	0.9	0.0	5	21	1
37	0.5	3	9	5	0.3	0.0	-5	22	1
35	0.5	3	9	5	0.3	0.4	5	23	1
10	0.5	3	9	5	0.9	0.30000000000000004	5	24	1
17	0.5	3	9	5	0.9	0.4	-5	25	1
28	0.5	3	9	5	0.75	0.30000000000000004	-5	26	1
18	0.5	3	9	5	0.9	0.5	-5	27	1
15	0.5	3	9	5	0.6	0.2	-5	28	1
40	0.5	3	9	5	0.3	0.30000000000000004	-5	29	1
4	0.5	3	9	5	0.6	0.30000000000000004	-5	30	1
22	0.5	3	9	5	0.3	0.30000000000000004	5	31	1
42	0.5	3	9	5	0.75	0.5	-5	32	1
26	0.5	3	9	5	0.9	0.1	-5	33	1
39	0.5	3	9	5	0.6	0.2	-5	34	1
27	0.5	3	9	5	0.9	0.2	-5	35	1
33	0.5	3	9	5	0.75	0.2	5	36	1
34	0.5	3	9	5	0.6	0.30000000000000004	5	37	1
5	0.5	3	9	5	0.3	0.4	-5	38	1
25	0.5	3	9	5	0.44999999999999996	0.0	-5	39	1
7	0.5	3	9	5	0.75	0.0	5	40	1
13	0.5	3	9	5	0.75	0.0	-5	41	1
12	0.5	3	9	5	0.44999999999999996	0.5	5	42	1
47	0.5	3	9	5	0.44999999999999996	0.4	5	43	1
9	0.5	3	9	5	0.44999999999999996	0.2	5	44	1
3	0.5	3	9	5	0.9	0.2	-5	45	1
2	0.5	3	9	5	0.6	0.1	-5	46	1
11	0.5	3	9	5	0.75	0.4	5	47	1
14	0.5	3	9	5	0.75	0.1	-5	48	1
19	0.5	3	9	5	0.9	0.0	5	1	2
27	0.5	3	9	5	0.9	0.2	-5	2	2
41	0.5	3	9	5	0.44999999999999996	0.4	-5	3	2
14	0.5	3	9	5	0.75	0.1	-5	4	2
35	0.5	3	9	5	0.3	0.4	5	5	2
43	0.5	3	9	5	0.6	0.0	5	6	2
31	0.5	3	9	5	0.9	0.0	5	7	2
32	0.5	3	9	5	0.75	0.1	5	8	2
7	0.5	3	9	5	0.75	0.0	5	9	2
4	0.5	3	9	5	0.6	0.30000000000000004	-5	10	2
33	0.5	3	9	5	0.75	0.2	5	11	2
5	0.5	3	9	5	0.3	0.4	-5	12	2
28	0.5	3	9	5	0.75	0.30000000000000004	-5	13	2
45	0.5	3	9	5	0.3	0.2	5	14	2
6	0.5	3	9	5	0.9	0.5	-5	15	2
38	0.5	3	9	5	0.3	0.1	-5	16	2
9	0.5	3	9	5	0.44999999999999996	0.2	5	17	2
30	0.5	3	9	5	0.75	0.5	-5	18	2
2	0.5	3	9	5	0.6	0.1	-5	19	2
1	0.5	3	9	5	0.75	0.0	-5	20	2
36	0.5	3	9	5	0.75	0.5	5	21	2
44	0.5	3	9	5	0.3	0.1	5	22	2
47	0.5	3	9	5	0.44999999999999996	0.4	5	23	2
40	0.5	3	9	5	0.3	0.30000000000000004	-5	24	2
34	0.5	3	9	5	0.6	0.30000000000000004	5	25	2
42	0.5	3	9	5	0.75	0.5	-5	26	2
48	0.5	3	9	5	0.75	0.5	5	27	2
16	0.5	3	9	5	0.9	0.30000000000000004	-5	28	2
37	0.5	3	9	5	0.3	0.0	-5	29	2
23	0.5	3	9	5	0.75	0.4	5	30	2
3	0.5	3	9	5	0.9	0.2	-5	31	2
20	0.5	3	9	5	0.3	0.1	5	32	2
26	0.5	3	9	5	0.9	0.1	-5	33	2
21	0.5	3	9	5	0.6	0.2	5	34	2
15	0.5	3	9	5	0.6	0.2	-5	35	2
25	0.5	3	9	5	0.44999999999999996	0.0	-5	36	2
39	0.5	3	9	5	0.6	0.2	-5	37	2
46	0.5	3	9	5	0.6	0.30000000000000004	5	38	2
13	0.5	3	9	5	0.75	0.0	-5	39	2
29	0.5	3	9	5	0.75	0.4	-5	40	2
22	0.5	3	9	5	0.3	0.30000000000000004	5	41	2
24	0.5	3	9	5	0.44999999999999996	0.5	5	42	2
11	0.5	3	9	5	0.75	0.4	5	43	2
10	0.5	3	9	5	0.9	0.30000000000000004	5	44	2
18	0.5	3	9	5	0.9	0.5	-5	45	2
17	0.5	3	9	5	0.9	0.4	-5	46	2
8	0.5	3	9	5	0.3	0.1	5	47	2
12	0.5	3	9	5	0.44999999999999996	0.5	5	48	2
35	0.5	3	9	5	0.3	0.4	5	1	3
44	0.5	3	9	5	0.3	0.1	5	2	3
2	0.5	3	9	5	0.6	0.1	-5	3	3
43	0.5	3	9	5	0.6	0.0	5	4	3
17	0.5	3	9	5	0.9	0.4	-5	5	3
21	0.5	3	9	5	0.6	0.2	5	6	3
39	0.5	3	9	5	0.6	0.2	-5	7	3
46	0.5	3	9	5	0.6	0.30000000000000004	5	8	3
1	0.5	3	9	5	0.75	0.0	-5	9	3
13	0.5	3	9	5	0.75	0.0	-5	10	3
15	0.5	3	9	5	0.6	0.2	-5	11	3
7	0.5	3	9	5	0.75	0.0	5	12	3
4	0.5	3	9	5	0.6	0.30000000000000004	-5	13	3
28	0.5	3	9	5	0.75	0.30000000000000004	-5	14	3
11	0.5	3	9	5	0.75	0.4	5	15	3
14	0.5	3	9	5	0.75	0.1	-5	16	3
18	0.5	3	9	5	0.9	0.5	-5	17	3
9	0.5	3	9	5	0.44999999999999996	0.2	5	18	3
29	0.5	3	9	5	0.75	0.4	-5	19	3
45	0.5	3	9	5	0.3	0.2	5	20	3
8	0.5	3	9	5	0.3	0.1	5	21	3
23	0.5	3	9	5	0.75	0.4	5	22	3
47	0.5	3	9	5	0.44999999999999996	0.4	5	23	3
6	0.5	3	9	5	0.9	0.5	-5	24	3
22	0.5	3	9	5	0.3	0.30000000000000004	5	25	3
33	0.5	3	9	5	0.75	0.2	5	26	3
40	0.5	3	9	5	0.3	0.30000000000000004	-5	27	3
38	0.5	3	9	5	0.3	0.1	-5	28	3
16	0.5	3	9	5	0.9	0.30000000000000004	-5	29	3
5	0.5	3	9	5	0.3	0.4	-5	30	3
19	0.5	3	9	5	0.9	0.0	5	31	3
24	0.5	3	9	5	0.44999999999999996	0.5	5	32	3
32	0.5	3	9	5	0.75	0.1	5	33	3
41	0.5	3	9	5	0.44999999999999996	0.4	-5	34	3
3	0.5	3	9	5	0.9	0.2	-5	35	3
20	0.5	3	9	5	0.3	0.1	5	36	3
34	0.5	3	9	5	0.6	0.30000000000000004	5	37	3
48	0.5	3	9	5	0.75	0.5	5	38	3
25	0.5	3	9	5	0.44999999999999996	0.0	-5	39	3
36	0.5	3	9	5	0.75	0.5	5	40	3
27	0.5	3	9	5	0.9	0.2	-5	41	3
30	0.5	3	9	5	0.75	0.5	-5	42	3
12	0.5	3	9	5	0.44999999999999996	0.5	5	43	3
10	0.5	3	9	5	0.9	0.30000000000000004	5	44	3
31	0.5	3	9	5	0.9	0.0	5	45	3
26	0.5	3	9	5	0.9	0.1	-5	46	3
37	0.5	3	9	5	0.3	0.0	-5	47	3
42	0.5	3	9	5	0.75	0.5	-5	48	3
3	0.5	3	9	5	0.9	0.2	-5	1	4
35	0.5	3	9	5	0.3	0.4	5	2	4
7	0.5	3	9	5	0.75	0.0	5	3	4
21	0.5	3	9	5	0.6	0.2	5	4	4
5	0.5	3	9	5	0.3	0.4	-5	5	4
31	0.5	3	9	5	0.9	0.0	5	6	4
