trial	speed	player_pos	ball_pos	distance	broad	jitter	change_loc	shift_pos	trial_nr	block
39	0.5	5	1	9	5	0.75	-7.5	-5	1	0
36	0.5	5	1	9	5	0.75	-4.5	5	2	0
58	0.5	5	1	9	5	0.75	-7.0	-5	3	0
1	0.5	5	1	9	5	0.44999999999999996	-8.5	-5	4	0
46	0.5	5	1	9	5	0.75	-8.5	5	5	0
17	0.5	5	1	9	5	0.75	-5.0	5	6	0
21	0.5	5	1	9	5	0.6	-7.5	-5	7	0
14	0.5	5	1	9	5	0.44999999999999996	-6.5	5	8	0
50	0.5	5	1	9	5	0.9	-6.5	5	9	0
33	0.5	5	1	9	5	0.3	-6.0	5	10	0
40	0.5	5	1	9	5	0.44999999999999996	-7.0	-5	11	0
31	0.5	5	1	9	5	0.44999999999999996	-7.0	5	12	0
56	0.5	5	1	9	5	0.75	-8.0	-5	13	0
44	0.5	5	1	9	5	0.6	-5.0	-5	14	0
11	0.5	5	1	9	5	0.6	-8.0	5	15	0
55	0.5	5	1	9	5	0.9	-8.5	-5	16	0
37	0.5	5	1	9	5	0.75	-8.5	-5	17	0
25	0.5	5	1	9	5	0.9	-5.5	-5	18	0
28	0.5	5	1	9	5	0.9	-8.5	5	19	0
43	0.5	5	1	9	5	0.6	-5.5	-5	20	0
27	0.5	5	1	9	5	0.75	-4.5	-5	21	0
45	0.5	5	1	9	5	0.6	-4.5	-5	22	0
42	0.5	5	1	9	5	0.3	-6.0	-5	23	0
30	0.5	5	1	9	5	0.9	-7.5	5	24	0
5	0.5	5	1	9	5	0.75	-6.5	-5	25	0
19	0.5	5	1	9	5	0.9	-8.5	-5	26	0
53	0.5	5	1	9	5	0.44999999999999996	-5.0	5	27	0
15	0.5	5	1	9	5	0.75	-6.0	5	28	0
68	0.5	5	1	9	5	0.6	-6.5	5	29	0
34	0.5	5	1	9	5	0.3	-5.5	5	30	0
22	0.5	5	1	9	5	0.75	-7.0	-5	31	0
16	0.5	5	1	9	5	0.44999999999999996	-5.5	5	32	0
70	0.5	5	1	9	5	0.6	-5.5	5	33	0
6	0.5	5	1	9	5	0.75	-6.0	-5	34	0
64	0.5	5	1	9	5	0.3	-8.5	5	35	0
38	0.5	5	1	9	5	0.3	-8.0	-5	36	0
32	0.5	5	1	9	5	0.6	-6.5	5	37	0
60	0.5	5	1	9	5	0.75	-6.0	-5	38	0
13	0.5	5	1	9	5	0.9	-7.0	5	39	0
8	0.5	5	1	9	5	0.3	-5.0	-5	40	0
54	0.5	5	1	9	5	0.44999999999999996	-4.5	5	41	0
49	0.5	5	1	9	5	0.44999999999999996	-7.0	5	42	0
61	0.5	5	1	9	5	0.75	-5.5	-5	43	0
69	0.5	5	1	9	5	0.9	-6.0	5	44	0
62	0.5	5	1	9	5	0.9	-5.0	-5	45	0
24	0.5	5	1	9	5	0.9	-6.0	-5	46	0
7	0.5	5	1	9	5	0.3	-5.5	-5	47	0
