trial	speed	player_pos	ball_pos	distance	broad	jitter	gap_time	shift_pos	trial_nr	block
6	0.5	5	1	9	5	0.3	0.5	-5	1	0
2	0.5	5	1	9	5	0.3	0.1	-5	2	0
8	0.5	5	1	9	5	0.3	0.1	5	3	0
3	0.5	5	1	9	5	0.6	0.2	-5	4	0
1	0.5	5	1	9	5	0.44999999999999996	0.0	-5	5	0
4	0.5	5	1	9	5	0.9	0.30000000000000004	-5	6	0
5	0.5	5	1	9	5	0.3	0.4	-5	7	0
10	0.5	5	1	9	5	0.44999999999999996	0.30000000000000004	5	8	0
11	0.5	5	1	9	5	0.3	0.4	5	9	0
7	0.5	5	1	9	5	0.44999999999999996	0.0	5	10	0
9	0.5	5	1	9	5	0.6	0.2	5	11	0
12	0.5	5	1	9	5	0.3	0.5	5	12	0
