trial	speed	ball_pos	distance	broad	jitter	gap_time	shift_pos	trial_nr	block
12	0.5	1	9	5	0.6	1.1	5	1	0
9	0.5	1	9	5	0.75	1.8000000000000007	-5	2	0
5	0.5	1	9	5	0.75	1.4000000000000004	-5	3	0
18	0.5	1	9	5	0.3	1.7000000000000006	5	4	0
14	0.5	1	9	5	0.9	1.3000000000000003	5	5	0
8	0.5	1	9	5	0.6	1.7000000000000006	-5	6	0
15	0.5	1	9	5	0.44999999999999996	1.4000000000000004	5	7	0
6	0.5	1	9	5	0.6	1.5000000000000004	-5	8	0
4	0.5	1	9	5	0.9	1.3000000000000003	-5	9	0
7	0.5	1	9	5	0.75	1.6000000000000005	-5	10	0
1	0.5	1	9	5	0.75	1.0	-5	11	0
3	0.5	1	9	5	0.6	1.2000000000000002	-5	12	0
2	0.5	1	9	5	0.44999999999999996	1.1	-5	13	0
16	0.5	1	9	5	0.9	1.5000000000000004	5	14	0
17	0.5	1	9	5	0.44999999999999996	1.6000000000000005	5	15	0
13	0.5	1	9	5	0.75	1.2000000000000002	5	16	0
20	0.5	1	9	5	0.6	1.9000000000000008	5	17	0
19	0.5	1	9	5	0.6	1.8000000000000007	5	18	0
11	0.5	1	9	5	0.3	1.0	5	19	0
10	0.5	1	9	5	0.6	1.9000000000000008	-5	20	0
