response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	16.36341275599989	22.1489805300007	22.750116420000268	0	23.102419358001498	23.134846115000983	22.952419929000826	[-5]	1
n	2	24.865819370999816	77.3418254570006	77.94274301299993	0	78.21504014400125	78.33415382699968	78.31805674300085	[-5]	0
v	3	80.06512083300004	81.88472049600023	82.48542747200008	0	82.75108934400123	82.8661114030001	82.70033664000039	[5]	0
n	4	84.59714543299924	84.75643438500083	85.35736770599942	0	85.67110981000042	85.74854439199953	85.73235174600086	[5]	1
[]	5	87.4795548330003	88.42823862399928	89.02914640000017	0	0.0	89.4310560390004	89.41485541099973	[5]	na
[]	6	91.16207703500004	93.3653974709996	93.96626163700057	0	0.0	94.34617940700082	94.08008313299979	[-5]	na
n	7	96.07680475599955	97.5330424799995	98.1339544170005	0	98.3993828720013	98.51117620300101	98.24543261600047	[5]	1
n	8	100.24188306299948	101.25979008600007	101.8607184829998	0	102.14355591000094	102.26000931800081	102.24388911700044	[5]	1
v	9	103.99072643600084	105.46111347899932	106.06214371699934	0	106.26352863900138	106.45869777799999	106.44248547200004	[-5]	1
v	10	108.18971415099986	108.54825191000054	109.1490073799996	0	109.35971353100103	109.52432822400078	109.1494878350004	[5]	0
v	11	111.25541075100045	112.63639132199933	113.23721236200072	0	113.57564175000152	113.62308082600066	113.23769586100025	[-5]	1
n	12	115.35363966300065	115.62837796299937	116.2292595859999	0	116.51157600900115	116.60547090699947	116.22974381499989	[5]	1
v	13	118.33647183500034	118.89257849299975	119.49347272100022	0	119.76761432600142	119.87113085999954	119.80498669100052	[-5]	1
n	14	121.60211432100004	121.93213383200055	122.5328072960001	0	122.84771016300147	122.90351826900041	122.63777847299934	[5]	1
n	15	124.63430564600094	124.9640377630003	125.56495234400063	0	125.82371834900005	125.93588779200036	125.56543011500071	[5]	1
[]	16	127.66680039200037	128.21244328300054	128.81351384499976	0	0.0	129.18524152099963	129.01911197399932	[-5]	na
v	17	130.91600773400023	131.54145332100052	132.1421718849997	0	132.42382125300173	132.53381806300058	132.51769641700048	[-5]	1
v	18	134.26450206399932	135.0123119180007	135.61340339699927	0	135.61577047500032	135.99937918700016	135.61388183999952	[-5]	1
n	19	137.7301731970001	137.99689179599955	138.5978680549997	0	138.7119094710015	138.98176203399998	138.7990085370002	[5]	1
n	20	140.71290092699928	140.9331222969995	141.5338459150007	0	141.74399770200034	141.93084026799988	141.9146916289992	[5]	1
v	21	143.6615575930009	143.89236606300074	144.49301779000052	0	144.68802058500114	144.87993699599974	144.69829445700088	[5]	0
n	22	146.61084423099965	146.82913633700082	147.4301285900001	0	147.73605315400164	147.82904050199977	147.81290961100058	[5]	1
n	23	149.55974100999993	149.88524329900065	150.48602606399982	0	150.5841080600003	150.8780679190004	150.8618700829993	[-5]	0
v	24	152.6092963760002	152.7499267839994	153.350609471001	0	153.64814165200005	153.72715330400024	153.35109395200016	[-5]	1
n	25	155.45808950600076	155.68476385900067	156.28564972200002	0	156.52019238400135	156.65957995700046	156.39385096499973	[-5]	0
v	26	158.39057446900006	158.61310168899945	159.21408454099947	0	159.41622234400165	159.6086630310001	159.5925545049995	[5]	0
n	27	161.33957115299927	161.74067201400067	162.34129731900066	0	162.5922763310009	162.7243354479997	162.64157713500026	[5]	1
n	28	164.4555503089996	164.69266544899983	165.2931514690008	0	165.53632690400082	165.69004981800026	165.67390570799944	[-5]	0
v	29	167.42054818799988	167.6688331259993	168.26977944899954	0	168.5363841970011	168.6558036309998	168.27026400199975	[-5]	1
v	30	170.38659954899958	170.62177625100048	171.22268627700032	0	171.44842489700022	171.60488800699932	171.53883536800095	[5]	0
n	31	173.3360041979995	173.72493649900025	174.3257801130003	0	174.60050104600123	174.72058286100037	174.7044810820007	[5]	1
v	32	176.45110152800044	176.95696983199923	177.55786296500082	0	177.84849088300143	177.95293802800006	177.93677041400042	[-5]	1
v	33	179.68388964000042	179.94201319900094	180.54276238199964	0	180.83254471000146	180.91864899999928	180.6529024600004	[5]	0
n	34	182.64938061800058	182.92503626799953	183.5260051669993	0	183.75258745200153	183.90102359000048	183.83493185100087	[-5]	0
n	35	185.63196256899937	186.11697670600006	186.71795439400012	0	187.06464159900133	187.10000826800024	187.03424728199934	[-5]	0
v	36	188.8321421010005	189.08615384599943	189.68696421499953	0	189.9611011550005	190.06588081399968	189.80005343000084	[-5]	1
[]	37	191.79659312600052	192.07759318600074	192.67853750699942	0	0.0	193.0651873730003	192.67902112400043	[5]	na
n	38	194.79579946600097	195.99900775900096	196.59992043400052	0	196.92879683500178	196.9969234550008	196.9807531639999	[5]	1
n	39	198.72804303799967	199.42917122399922	200.03030052199938	0	200.31289952700172	200.41246598100042	200.1467872230005	[5]	1
n	40	202.1432632670003	202.38248922800085	202.98309748300017	0	203.2168900350007	203.37827571399976	203.36207130100047	[-5]	0
v	41	205.1094910259999	205.55878495599973	206.15968695899937	0	206.40093992300172	206.54392441600066	206.36155697899994	[5]	0
n	42	208.27509795100013	208.4935877930002	209.0945327770005	0	209.4410096290012	209.47633486700033	209.3105912129995	[-5]	0
v	43	211.2074635629997	213.74959400099942	214.35047030500027	0	214.68106338800135	214.74137270999927	214.72524890000022	[-5]	1
[]	44	216.47252745100013	216.72651207499985	217.32730219199948	0	0.0	217.70746625100037	217.6413966780001	[5]	na
n	45	219.43812197700026	220.37454815800083	220.97548003200063	0	221.345178683001	221.35721904599995	221.29018125900075	[5]	1
n	46	223.08734374400046	223.341694191	223.94266309200066	0	224.26523246000033	224.32166277999931	224.15597822100062	[-5]	0
v	47	226.05249793300027	226.49370789299974	227.0946655780008	0	227.4652916670002	227.47200354699999	227.20497326800069	[-5]	1
[]	48	229.20216308499948	229.5256853819992	230.12627189500017	0	0.0	230.5034527989992	230.43728909200036	[-5]	na
v	1	236.6792851320006	237.42214965200037	238.02291164800044	0	238.35345532200154	238.40063770400047	238.334804479	[-5]	1
v	2	240.13098084100056	240.76682303100097	241.36757368100007	0	241.68192864600132	241.76626068100086	241.75003658999958	[-5]	1
n	3	243.4962756700006	243.7271717700005	244.32811812799991	0	244.62553604200002	244.6986554239993	244.53287286200066	[-5]	0
v	4	246.4288773419994	246.6470986589993	247.2482028859995	0	247.56156807200023	247.63101765800093	247.34865736100073	[-5]	1
v	5	249.36143372100014	249.6620739860009	250.26302431600016	0	250.48160608700164	250.6634097820006	250.6472511510001	[5]	0
n	6	252.39353607799967	252.61399712300044	253.21473474100094	0	253.54595750800036	253.59580745499989	253.53003774399986	[5]	1
n	7	255.32651347799947	255.57417173000067	256.1750648119996	0	256.5457225120008	256.5782436490008	256.5633397729998	[-5]	0
v	8	258.3087191520008	258.6702300500001	259.2711148489998	0	259.57795721100047	259.6439221920009	259.4782477030003	[-5]	1
[]	9	261.37455332600075	261.65417929199975	262.255334812	0	0.0	262.626763485001	262.2558404369993	[5]	na
n	10	264.35701115399934	265.0622079200002	265.6633422020004	0	265.9538932070009	266.0419072219993	265.66384669000036	[5]	1
n	11	267.77218623500085	268.16685734599923	268.76777949499956	0	269.04989621500135	269.1576158560001	269.1415358049999	[5]	1
n	12	270.8882458629996	271.13450032900073	271.73541331100023	0	272.0499950750018	272.123345426	272.10723209999924	[-5]	0
v	13	273.85345825200056	274.20648326800074	274.80749088300036	0	275.1140071180016	275.1890531230001	274.80799589399976	[5]	0
n	14	276.91948014899936	277.16704813700017	277.76807629200084	0	278.06599845300116	278.1548324630003	277.97240017200056	[-5]	0
