response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	12.141860867000105	13.160356020000108	13.46616700200002	0	13.642323325000007	13.815311240000028	13.633251484000084	[5]	0
n	2	15.346235257999979	15.654984237999997	15.965346546000092	0	16.274486512000067	16.29790049500002	16.082518884000137	[5]	1
v	3	18.029114099000026	18.088037800999928	18.397933053000088	0	18.57857474299999	18.730501742000115	18.465069714000037	[-5]	1
v	4	20.46210026200015	20.567118718000074	20.88051756699997	0	21.082728249000183	21.213072047999958	20.931028553000033	[-5]	1
n	5	22.94410357400011	23.072167946000036	23.37974184199993	0	23.594804020000083	23.71231298900011	23.48018993300002	[5]	1
v	6	25.443563685000072	25.535959863000016	25.845658673000116	0	26.002635144000124	26.17823377900004	26.029152516000067	[-5]	1
n	7	27.908772207000084	28.183876247999933	28.49487113200007	0	28.722778884000036	28.827413553000042	28.545445742000084	[5]	1
n	8	30.557970535000095	30.776306532000035	31.094071787000075	0	31.266758984000035	31.42664188599997	31.227846307999926	[5]	1
v	9	33.159008431000075	33.19949941200002	33.509999075999986	0	33.71483007100005	33.842565297999954	33.593961356000136	[-5]	1
n	10	35.573565847000054	35.63939447400003	35.959355405999986	0	36.091123155000105	36.308475701000134	36.05971949200011	[-5]	0
v	11	37.83936513399999	37.91298591000009	38.225262131000136	0	38.43499570100016	38.55779302099995	38.37573894399998	[-5]	1
n	12	40.28875659200003	40.520051630000125	40.84112485100013	0	40.96306332900008	41.19030808000002	40.97576870700004	[-5]	0
v	13	42.72181121300014	43.02428754300013	43.340433445000144	0	43.51512020700011	43.68957655600002	43.52490833699994	[5]	0
v	14	45.22020554799997	45.63182947700011	45.939542888999995	0	46.187213676000056	46.272115862999954	46.05667495500006	[-5]	1
n	15	48.00319501800004	48.46496659600007	48.77201840600014	0	48.97930391299997	49.12123310200013	48.93911786100011	[-5]	0
v	16	50.65177909199997	51.26451361599993	51.57116578099999	0	51.73936983300018	51.92038252900011	51.65500896200001	[5]	0
n	17	53.450790492000124	53.67991826799994	53.987207003000094	0	54.24313021000012	54.319665187000055	54.05419434300006	[5]	1
n	18	56.05001005600002	56.76150302600013	57.06950933899998	0	57.26770759400006	57.40206095799999	57.22004115699997	[5]	1
