response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	12.228979680000066	12.614186456000084	12.914785873000028	0	13.176750973000026	13.29286751799998	13.226806965000037	[-5]	1
n	2	15.041136241000004	15.244877331999987	15.545529139999985	0	15.840450376000035	15.942359536000026	15.925836462000007	[-5]	0
n	3	17.673204213000076	17.685585715000002	17.987129122000056	0	18.272486674999982	18.374603422000064	18.35852593000004	[5]	1
n	4	20.105542317000072	20.189319747000013	20.489895272000012	0	20.736548262000042	20.873876052000014	20.79104118500004	[5]	1
v	5	22.60471240700008	22.63817578999999	22.938756626999975	0	23.168587020000018	23.32304474800003	22.939257565000048	[5]	0
n	6	25.053921528000046	25.87723157100004	26.177808002999996	0	26.448650411000017	26.555422417000045	26.289676084000007	[-5]	0
v	7	28.286210256999993	28.294677911000008	28.59529666399999	0	28.88068913500001	28.987995745000035	28.971909652000022	[-5]	1
n	8	30.718873546000054	30.806887470999982	31.107360958000072	0	31.35299890300007	31.503858234000063	31.487705688999995	[5]	1
n	9	33.23495056500008	34.34940246899998	34.65020439900002	0	34.92078106100007	35.03611906800006	34.853853877000006	[-5]	0
v	10	36.76778230600007	36.78215658700003	37.08299244199998	0	37.33714127300004	37.468686456	37.28627683500008	[5]	0
n	11	39.199680219000015	39.35739256900001	39.658186258	0	39.888887616000034	40.03456003000008	39.76880877000008	[5]	1
n	12	41.76556696600005	42.13336204400002	42.43396565299997	0	42.70493241000008	42.817041355000015	42.43444411300004	[-5]	0
