response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	19.35810123500005	20.13458988399998	20.735733951000043	0	21.010056367000004	21.121294892000037	21.038534443999993	[5]	0
n	2	22.35146944500002	22.71964784399995	23.320631144000004	0	23.586318542000015	23.703828722000026	23.521400395	[5]	1
v	3	24.932919857	25.14282322300005	25.743710393000015	0	26.03423651700001	26.136408414000016	26.120219479999946	[-5]	1
n	4	27.361460825999984	27.502648179999937	28.103802666999968	0	28.35444507799997	28.485710649999987	28.104290151999976	[5]	1
n	5	29.711242496999944	29.767869445999963	30.368333046999965	0	30.63460569800003	30.751644435999992	30.569291496999995	[-5]	0
v	6	31.976612337000006	32.03121721599996	32.63211902199998	0	32.81030220400004	33.01766033900003	32.73521813499997	[5]	0
v	7	34.243185307999966	34.30379883299997	34.90477187700003	0	35.13838288400001	35.28364680499999	34.90527046700004	[-5]	1
n	8	36.51025134199995	36.63171575000001	37.23261513900002	0	37.49048470500003	37.632869055000015	37.61670540199998	[5]	1
v	9	38.85908907600003	38.999425005000035	39.600458249999974	0	39.88282866200001	39.98218903999998	39.90055674200005	[-5]	1
n	10	41.20748850799998	41.23249642199994	41.83335807699996	0	42.08271457699999	42.23146323200001	42.21535165800003	[5]	1
b	11	43.45710193900004	43.47175637199996	44.072699262000015	0	44.41861503700005	44.464134700000045	44.447953264000034	[-5]	
n	12	45.67853524899999	45.695321476000004	46.296356136999975	0	46.48262642599997	46.68010243799995	46.39777259300001	[-5]	0
