response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
v	1	16.078420701999903	17.112267094000003	18.013586178999958	0	18.32297139000002	18.39298493199999	18.014083735999975	[-5]	1
n	2	19.622640477999994	19.656088283999907	20.557332128999974	0	20.85916604399995	20.958856023999942	20.942760412999974	[5]	1
v	3	22.184394006999923	22.29555573999994	23.19611854499999	0	23.507380885999964	23.574695894	23.309010796999928	[-5]	1
n	4	24.799972858999922	24.816819099999975	25.718249614	0	25.987117971999965	26.090614017000007	25.718729324999913	[5]	1
v	5	27.316383029000008	27.399982353999917	28.30151841399993	0	28.563149904999932	28.67309915699991	28.50738407999995	[5]	0
n	6	29.90241309099997	30.11218058599991	31.012891106999973	0	31.259202620999986	31.38892549100001	31.322804399999995	[-5]	0
v	7	32.61431280199997	32.64762563699992	33.54882785799998	0	33.59517960599999	33.93817290300001	33.92200033500001	[5]	0
n	8	35.16384400599998	35.48151401999996	36.38274808899996	0	36.659395521999954	36.753906003	36.48820062799996	[5]	1
v	9	37.98067183599994	38.04757370499999	38.94887503199993	0	39.19532589300002	39.319818417999954	39.154119950999984	[-5]	1
n	10	40.54508065799996	40.78428101099996	41.68569189799996	0	41.94744880999997	42.08558892399992	42.06947762799996	[-5]	0
v	11	43.31084574099998	43.35984974600001	44.26104158800001	0	44.49941297099997	44.63479060599991	44.568643576	[5]	0
n	12	45.86047062499995	45.91286795099995	46.81351851299996	0	47.091479487000015	47.20074260199999	47.184501651000005	[-5]	0
