response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal
v	1	18.808027029	1.34005498886	2.36076807976	0	0.310678958893	2.57719397545
n	2	23.0520730019	0.439622163773	0.999194145203	0	0.132531881332	1.21510219574
v	3	25.7956020832	0.0890610218048	0.954757928848	0	0.121188163757	1.18736600876
v	4	29.235006094	0.305670022964	1.31418991089	0	0.170411109924	1.58011412621
n	5	33.0663452148	0.538845777512	1.39823389053	0	0.127170085907	1.54755187035
v	6	36.1417930126	0.262261152267	0.822018146515	0	0.123877048492	1.00464701653
v	7	38.6751182079	0.0330657958984	1.05449581146	0	0.102414131165	1.13764190674
v	8	41.3401679993	0.255884170532	1.27185416222	0	0.21172785759	1.53777909279
n	9	45.1298952103	0.314344882965	0.881060838699	0	0.156855106354	1.08033585548
v	10	48.4615871906	5.62391781807	6.17998695374	0	0.134644985199	6.41258597374
n	11	57.1253921986	0.407929897308	1.1150598526	0	0.119555950165	1.23150086403
v	12	59.8844640255	0.264279127121	1.12200498581	0	0.145541191101	1.35442519188
v	13	63.4902482033	2.45826482773	3.01423501968	0	0.127619981766	3.13070487976
v	14	68.1489100456	0.503719091415	1.52123904228	0	0.153996944427	1.67104411125
v	15	71.3482840061	0.296061038971	0.704437017441	0	0.163444042206	0.871698141098
n	16	74.4704611301	0.38303899765	1.39773488045	0	0.148283004761	1.59703302383
v	17	78.3188951015	0.341541051865	1.19817209244	0	0.0911929607391	1.28135800362
v	18	81.1280961037	0.20440196991	0.771590948105	0	0.108600139618	0.987482070923
v	19	83.6436650753	0.0331289768219	1.05508899689	0	0.205598115921	1.23820900917
n	20	86.4097452164	0.203899860382	0.621642827988	0	0.169166088104	0.837543964386
v	21	88.7754211426	0.0224859714508	0.588501930237	0	0.108474969864	0.671700000763
v	22	90.9752352238	0.157953977585	0.721299886703	0	0.11990904808	0.870644807816
n	23	93.373704195	0.262862920761	0.972000837326	0	0.102775096893	1.10464286804
v	24	96.729706049	0.155992031097	0.864976167679	0	0.10986495018	0.948173999786
n	25	99.2061240673	0.239241123199	1.25432109833	0	0.164129018784	1.48692393303
v	26	102.94443512	0.237287998199	0.798304080963	0	0.161937952042	1.06424188614
n	27	106.260361195	0.0892770290375	0.947985887527	0	0.144299030304	1.06443881989
v	28	108.852216005	0.241542100906	0.805328130722	0	0.103139877319	0.888473033905
n	29	111.268156052	0.241323947906	0.655339956284	0	0.2211830616	0.838457107544
v	30	113.634206057	0.0996799468994	0.505270004272	0	0.14127612114	0.588385105133
n	31	115.750849009	0.0869970321655	1.10446715355	0	0.121468067169	1.22091913223
v	32	118.499768019	0.241388082504	0.654820203781	0	0.118528842926	0.771381139755
n	33	120.799516201	0.110162973404	1.12081980705	0	0.136516094208	1.38679289818
v	34	124.437697172	0.143331050873	0.714954853058	0	0.136248111725	0.865545034409
v	35	127.553476095	0.268248081207	1.13139200211	0	0.116149902344	1.38066697121
n	36	130.46227622	0.48698592186	1.05509090424	0	0.107606887817	1.22100400925
v	37	133.934739113	0.13503408432	0.698364019394	0	0.135966062546	0.930877923965
n	38	137.116952181	0.216202020645	0.931692838669	0	0.0964250564575	1.01479196548
n	39	139.660238028	0.216993093491	1.23746299744	0	0.127398967743	1.42007398605
v	40	142.608389139	0.09343791008	0.805190086365	0	0.131743907928	0.987797021866
n	41	145.124307156	0.232962846756	0.788470983505	0	0.176388025284	1.05443406105
n	42	148.430047035	0.287364006042	0.848332166672	0	0.1068379879	0.965672016144
v	43	150.922405005	0.235007047653	1.10511422157	0	0.109781980515	1.25440812111
v	44	153.704707146	0.14137005806	0.705785036087	0	0.0947940349579	0.788542032242
n	45	156.021342039	0.264034032822	1.27119517326	0	0.180740833282	1.42098402977
v	46	158.969816208	0.0836069583893	0.805238008499	0	0.146295785904	1.07121992111
v	47	162.292281151	0.2580909729	0.965075969696	0	0.152064085007	1.13225197792
v	48	165.674865007	0.0913710594177	0.948085069656	0	0.210566997528	1.16533613205
n	49	169.090744019	0.122893095016	0.681172132492	0	0.117583990097	0.797753095627
v	50	171.4161551	0.253724098206	1.12157702446	0	0.135842084885	1.23803710938
v	51	174.181683064	0.2000041008	0.921911001205	0	0.121998071671	1.07119894028
v	52	176.780912161	0.0727958679199	1.08845686913	0	0.148423194885	1.30446195602
v	53	179.613434076	0.0814321041107	0.9384329319	0	0.185798168182	1.18768501282
v	54	182.329603195	0.260176897049	0.971367835999	0	0.204742193222	1.25403285027
n	55	185.111815214	0.254052877426	0.671741962433	0	0.370200872421	0.954816818237
v	56	187.594137192	0.276715993881	0.988523960114	0	0.251451015472	1.23828291893
n	1	194.118034124	0.632996082306	1.0458779335	0	0.141937017441	1.22850608826
v	2	196.87405014	0.299921989441	0.70577287674	0	0.174055099487	0.889703989029
n	3	200.013615131	0.249393939972	1.11514902115	0	0.121167898178	1.23155903816
n	4	202.772417068	0.241727113724	1.10544109344	0	0.1482629776	1.33802604675
v	5	206.362192154	0.301548957825	0.864634990692	0	0.135185956955	1.01513504982
n	6	208.903595209	0.270473003387	1.13897800446	0	0.143482923508	1.38822984695
v	7	211.819451094	0.179028987885	0.589039087296	0	0.177594900131	0.871643066406
v	8	214.218741179	0.124562978745	1.1388258934	0	0.244557142258	1.35525083542
n	9	217.101198196	0.210187911987	0.922184944153	0	0.106813907623	1.00534892082
v	10	219.633944035	0.116325139999	0.821998119354	0	0.146430015564	1.10458517075
n	11	222.266416073	0.107851028442	1.12192606926	0	0.237865924835	1.33837795258
v	12	225.132544041	0.145838975906	0.855005025864	0	0.110722064972	1.00432610512
v	13	227.664330006	0.00612902641296	1.02234601974	0	0.203649997711	1.20549106598
v	14	230.397297144	0.266174077988	0.821902990341	0	0.199326992035	1.03788685799
n	15	232.962609053	0.14004611969	1.15567111969	0	0.140107870102	1.3883061409
