response	trial	t_start	t_set	t_release	t_response	t_goal
v	0	12.6754148006	13.9839417934	NA	14.6195349693	NA
n	1	17.0167520046	17.3358108997	NA	17.9876568317	NA
v	2	19.5908439159	19.9038128853	NA	20.5395460129	NA
v	3	22.1235129833	22.4167377949	NA	22.9875528812	NA
v	4	25.3460118771	25.616560936	NA	26.2437229156	NA
n	5	28.5121219158	28.7930378914	NA	29.3636138439	NA
v	6	31.0537509918	31.3201069832	NA	32.0115327835	NA
v	7	33.6028139591	33.8483259678	NA	34.4196438789	NA
v	8	36.0354030132	36.3121569157	NA	36.9557437897	NA
n	9	38.6679267883	38.9116230011	NA	39.4996068478	NA
n	10	41.81939888	42.096175909	NA	42.7155718803	NA
v	11	45.156252861	45.4396529198	NA	46.0198159218	NA
v	12	47.6982238293	47.9358608723	NA	48.56366992	NA
n	13	51.0046548843	51.2958660126	NA	52.019659996	NA
v	14	54.3204648495	54.6477808952	NA	55.2115809917	NA
v	15	57.6855268478	57.9518928528	NA	58.5875809193	NA
v	16	60.1109988689	60.4002699852	NA	61.0436038971	NA
n	17	62.6934089661	62.9436848164	NA	63.6196119785	NA
v	18	65.1760079861	65.6088140011	NA	66.3076529503	NA
n	19	67.8582808971	68.1039597988	NA	68.8357207775	NA
[]	20	70.4580628872	70.7202658653	NA	NA	NA
v	21	72.8738098145	73.1360089779	NA	73.859787941	NA
v	22	75.3558638096	75.6476869583	NA	76.2760088444	NA
n	23	78.545691967	79.103635788	NA	79.8117640018	NA
v	24	81.3871569633	81.4887058735	NA	82.3155918121	NA
[]	25	83.8197138309	84.1114997864	NA	NA	NA
v	26	86.4031338692	86.7677710056	NA	87.3475329876	NA
[]	27	89.6251318455	89.7287759781	NA	NA	NA
