response	trial	t_start	t_set	t_ball	t_release	t_response	t_goal
v	0	13.9256219864	2.41679906845	3.22219705582	0	0.141290903091	3.3729569912
n	1	19.5516989231	0.941491127014	1.61152696609	0	0.109830141068	1.69465494156
v	2	22.7743420601	0.270825862885	0.938050985336	0	0.192674875259	1.12122678757
v	3	25.4229989052	0.270365953445	0.938549041748	0	0.111578941345	1.08786392212
n	4	28.0387699604	0.126914024353	0.338829040527	0	0.343611955643	0.555233001709
v	5	30.1217439175	0.276689052582	1.08827209473	0	0.135376930237	1.35421204567
n	6	33.7270419598	0.295336008072	0.815304994583	0	0.170847892761	1.0645210743
v	7	36.319865942	0.949491024017	1.77126908302	0	0.318333864212	1.92107892036
v	8	39.7683949471	0.285011053085	0.95526099205	0	0.109685897827	1.07259392738
n	9	43.0910730362	0.258379936218	0.46502995491	0	0.301492929459	0.748104810715
v	10	45.3813350201	0.257766962051	0.624008893967	0	0.187999010086	0.873255968094
n	11	47.7831549644	0.0393400192261	0.254863977432	0	0.323327064514	0.504612922668
n	12	49.8152339458	0.191256999969	1.1551721096	0	0.150969982147	1.23832893372
v	13	52.5813429356	0.16859793663	0.538506031036	0	0.161551952362	0.721039056778
n	14	54.830821991	0.263956069946	0.771437883377	0	0.127190113068	0.970785856247
n	15	58.0528588295	0.297594070435	1.1149430275	0	0.121690988541	1.19815921783
n	16	60.7789158821	0.274803161621	0.788175106049	0	0.154445886612	1.00406312943
v	17	63.3109228611	0.22275018692	0.588698148727	0	0.141932010651	0.771339178085
n	18	65.610216856	0.131489038467	0.788613080978	0	0.106729030609	0.90586400032
v	19	68.7662980556	0.272427797318	0.781512975693	0	0.109857797623	0.93085694313
n	20	71.2250978947	0.166270017624	1.12184596062	0	0.118692159653	1.3378341198
v	21	74.0908138752	0.307957172394	1.27180218697	0	0.15133690834	1.5544090271
n	22	77.1736059189	0.00819611549377	0.971513032913	0	0.176567077637	1.08795309067
n	23	79.7890129089	0.241172075272	1.2052230835	0	0.135755062103	1.45447206497
v	24	82.7722599506	0.130826950073	0.337918996811	0	0.203633069992	0.454390048981
n	25	84.7541549206	0.220449924469	0.88855099678	0	0.119199037552	0.971713066101
v	26	87.2537679672	0.297369003296	0.804822921753	0	0.127308130264	0.97079205513
n	27	90.4760718346	0.234834194183	0.748259067535	0	0.16898393631	1.03084611893
