trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
33	0.5	4	0	-	6.0	3.0	0.9	1	0
37	0.5	4	0	-	6.5	3.25	0.45	2	0
41	0.5	4	0	-	7.0	3.5	0.75	3	0
50	0.5	4	0	-	8.0	4.0	0.9	4	0
22	0.5	4	0	-	4.5	2.25	0.75	5	0
32	0.5	4	0	+	5.5	2.75	0.45	6	0
4	0.5	4	0	+	2.0	1.0	0.9	7	0
53	0.5	4	0	-	8.5	4.25	0.9	8	0
40	0.5	4	0	+	6.5	3.25	0.45	9	0
42	0.5	4	0	-	7.0	3.5	0.45	10	0
10	0.5	4	0	-	3.0	1.5	0.6	11	0
45	0.5	4	0	-	7.5	3.75	0.75	12	0
15	0.5	4	0	+	3.5	1.75	0.45	13	0
17	0.5	4	0	-	4.0	2.0	0.9	14	0
30	0.5	4	0	-	5.5	2.75	0.3	15	0
35	0.5	4	0	+	6.0	3.0	0.9	16	0
5	0.5	4	0	-	2.5	1.25	0.75	17	0
39	0.5	4	0	+	6.5	3.25	0.45	18	0
27	0.5	4	0	+	5.0	2.5	0.9	19	0
34	0.5	4	0	-	6.0	3.0	0.3	20	0
1	0.5	4	0	-	2.0	1.0	0.45	21	0
24	0.5	4	0	+	4.5	2.25	0.45	22	0
20	0.5	4	0	+	4.0	2.0	0.6	23	0
2	0.5	4	0	-	2.0	1.0	0.6	24	0
43	0.5	4	0	+	7.0	3.5	0.9	25	0
54	0.5	4	0	-	8.5	4.25	0.45	26	0
12	0.5	4	0	+	3.0	1.5	0.75	27	0
8	0.5	4	0	+	2.5	1.25	0.45	28	0
25	0.5	4	0	-	5.0	2.5	0.3	29	0
6	0.5	4	0	-	2.5	1.25	0.3	30	0
16	0.5	4	0	+	3.5	1.75	0.9	31	0
9	0.5	4	0	-	3.0	1.5	0.3	32	0
55	0.5	4	0	+	8.5	4.25	0.9	33	0
21	0.5	4	0	-	4.5	2.25	0.45	34	0
47	0.5	4	0	+	7.5	3.75	0.75	35	0
31	0.5	4	0	+	5.5	2.75	0.45	36	0
46	0.5	4	0	-	7.5	3.75	0.45	37	0
7	0.5	4	0	+	2.5	1.25	0.6	38	0
26	0.5	4	0	-	5.0	2.5	0.9	39	0
28	0.5	4	0	+	5.0	2.5	0.6	40	0
56	0.5	4	0	+	8.5	4.25	0.45	41	0
14	0.5	4	0	-	3.5	1.75	0.45	42	0
19	0.5	4	0	+	4.0	2.0	0.75	43	0
3	0.5	4	0	+	2.0	1.0	0.45	44	0
