trial,speed,player_pos,ball_pos,direction,distance,broad,trial_nr,block
38,0.5,2,0,-,6.5,3.25,1,0
17,0.5,2,0,-,4.0,2.0,2,0
43,0.5,2,0,+,7.0,3.5,3,0
4,0.5,2,0,+,2.0,1.0,4,0
25,0.5,2,0,-,5.0,2.5,5,0
35,0.5,2,0,+,6.0,3.0,6,0
8,0.5,2,0,+,2.5,1.25,7,0
50,0.5,2,0,-,8.0,4.0,8,0
56,0.5,2,0,+,8.5,4.25,9,0
42,0.5,2,0,-,7.0,3.5,10,0
53,0.5,2,0,-,8.5,4.25,11,0
49,0.5,2,0,-,8.0,4.0,12,0
27,0.5,2,0,+,5.0,2.5,13,0
19,0.5,2,0,+,4.0,2.0,14,0
44,0.5,2,0,+,7.0,3.5,15,0
21,0.5,2,0,-,4.5,2.25,16,0
14,0.5,2,0,-,3.5,1.75,17,0
47,0.5,2,0,+,7.5,3.75,18,0
45,0.5,2,0,-,7.5,3.75,19,0
13,0.5,2,0,-,3.5,1.75,20,0
9,0.5,2,0,-,3.0,1.5,21,0
6,0.5,2,0,-,2.5,1.25,22,0
31,0.5,2,0,+,5.5,2.75,23,0
3,0.5,2,0,+,2.0,1.0,24,0
36,0.5,2,0,+,6.0,3.0,25,0
48,0.5,2,0,+,7.5,3.75,26,0
16,0.5,2,0,+,3.5,1.75,27,0
28,0.5,2,0,+,5.0,2.5,28,0
29,0.5,2,0,-,5.5,2.75,29,0
34,0.5,2,0,-,6.0,3.0,30,0
24,0.5,2,0,+,4.5,2.25,31,0
33,0.5,2,0,-,6.0,3.0,32,0
18,0.5,2,0,-,4.0,2.0,33,0
23,0.5,2,0,+,4.5,2.25,34,0
41,0.5,2,0,-,7.0,3.5,35,0
40,0.5,2,0,+,6.5,3.25,36,0
52,0.5,2,0,+,8.0,4.0,37,0
11,0.5,2,0,+,3.0,1.5,38,0
2,0.5,2,0,-,2.0,1.0,39,0
46,0.5,2,0,-,7.5,3.75,40,0
51,0.5,2,0,+,8.0,4.0,41,0
10,0.5,2,0,-,3.0,1.5,42,0
39,0.5,2,0,+,6.5,3.25,43,0
15,0.5,2,0,+,3.5,1.75,44,0
26,0.5,2,0,-,5.0,2.5,45,0
37,0.5,2,0,-,6.5,3.25,46,0
30,0.5,2,0,-,5.5,2.75,47,0
1,0.5,2,0,-,2.0,1.0,48,0
12,0.5,2,0,+,3.0,1.5,49,0
55,0.5,2,0,+,8.5,4.25,50,0
7,0.5,2,0,+,2.5,1.25,51,0
20,0.5,2,0,+,4.0,2.0,52,0
32,0.5,2,0,+,5.5,2.75,53,0
22,0.5,2,0,-,4.5,2.25,54,0
5,0.5,2,0,-,2.5,1.25,55,0
54,0.5,2,0,-,8.5,4.25,56,0
45,0.5,2,0,-,7.5,3.75,1,1
18,0.5,2,0,-,4.0,2.0,2,1
3,0.5,2,0,+,2.0,1.0,3,1
7,0.5,2,0,+,2.5,1.25,4,1
33,0.5,2,0,-,6.0,3.0,5,1
55,0.5,2,0,+,8.5,4.25,6,1
50,0.5,2,0,-,8.0,4.0,7,1
20,0.5,2,0,+,4.0,2.0,8,1
24,0.5,2,0,+,4.5,2.25,9,1
6,0.5,2,0,-,2.5,1.25,10,1
19,0.5,2,0,+,4.0,2.0,11,1
37,0.5,2,0,-,6.5,3.25,12,1
56,0.5,2,0,+,8.5,4.25,13,1
48,0.5,2,0,+,7.5,3.75,14,1
9,0.5,2,0,-,3.0,1.5,15,1
27,0.5,2,0,+,5.0,2.5,16,1
2,0.5,2,0,-,2.0,1.0,17,1
39,0.5,2,0,+,6.5,3.25,18,1
1,0.5,2,0,-,2.0,1.0,19,1
8,0.5,2,0,+,2.5,1.25,20,1
29,0.5,2,0,-,5.5,2.75,21,1
49,0.5,2,0,-,8.0,4.0,22,1
23,0.5,2,0,+,4.5,2.25,23,1
41,0.5,2,0,-,7.0,3.5,24,1
53,0.5,2,0,-,8.5,4.25,25,1
28,0.5,2,0,+,5.0,2.5,26,1
16,0.5,2,0,+,3.5,1.75,27,1
22,0.5,2,0,-,4.5,2.25,28,1
38,0.5,2,0,-,6.5,3.25,29,1
51,0.5,2,0,+,8.0,4.0,30,1
5,0.5,2,0,-,2.5,1.25,31,1
21,0.5,2,0,-,4.5,2.25,32,1
25,0.5,2,0,-,5.0,2.5,33,1
44,0.5,2,0,+,7.0,3.5,34,1
43,0.5,2,0,+,7.0,3.5,35,1
52,0.5,2,0,+,8.0,4.0,36,1
30,0.5,2,0,-,5.5,2.75,37,1
12,0.5,2,0,+,3.0,1.5,38,1
10,0.5,2,0,-,3.0,1.5,39,1
54,0.5,2,0,-,8.5,4.25,40,1
36,0.5,2,0,+,6.0,3.0,41,1
46,0.5,2,0,-,7.5,3.75,42,1
17,0.5,2,0,-,4.0,2.0,43,1
34,0.5,2,0,-,6.0,3.0,44,1
35,0.5,2,0,+,6.0,3.0,45,1
15,0.5,2,0,+,3.5,1.75,46,1
4,0.5,2,0,+,2.0,1.0,47,1
14,0.5,2,0,-,3.5,1.75,48,1
11,0.5,2,0,+,3.0,1.5,49,1
26,0.5,2,0,-,5.0,2.5,50,1
32,0.5,2,0,+,5.5,2.75,51,1
40,0.5,2,0,+,6.5,3.25,52,1
31,0.5,2,0,+,5.5,2.75,53,1
47,0.5,2,0,+,7.5,3.75,54,1
42,0.5,2,0,-,7.0,3.5,55,1
13,0.5,2,0,-,3.5,1.75,56,1
