trial,speed,player_pos,ball_pos,direction,distance,broad,jitter,trial_nr,block
8,0.5,4,0,+,3.5,1.75,0.75,1,0
18,0.5,4,0,+,6.0,3.0,0.75,2,0
16,0.5,4,0,+,5.5,2.75,0.45,3,0
21,0.5,4,0,-,7.0,3.5,0.6,4,0
5,0.5,4,0,-,3.0,1.5,0.75,5,0
4,0.5,4,0,+,2.5,1.25,0.45,6,0
2,0.5,4,0,+,2.0,1.0,0.6,7,0
17,0.5,4,0,-,6.0,3.0,0.3,8,0
6,0.5,4,0,+,3.0,1.5,0.6,9,0
3,0.5,4,0,-,2.5,1.25,0.9,10,0
9,0.5,4,0,-,4.0,2.0,0.3,11,0
23,0.5,4,0,-,7.5,3.75,0.9,12,0
26,0.5,4,0,+,8.0,4.0,0.6,13,0
24,0.5,4,0,+,7.5,3.75,0.75,14,0
25,0.5,4,0,-,8.0,4.0,0.9,15,0
10,0.5,4,0,+,4.0,2.0,0.9,16,0
27,0.5,4,0,-,8.5,4.25,0.9,17,0
11,0.5,4,0,-,4.5,2.25,0.75,18,0
15,0.5,4,0,-,5.5,2.75,0.75,19,0
22,0.5,4,0,+,7.0,3.5,0.3,20,0
28,0.5,4,0,+,8.5,4.25,0.6,21,0
20,0.5,4,0,+,6.5,3.25,0.45,22,0
7,0.5,4,0,-,3.5,1.75,0.3,23,0
19,0.5,4,0,-,6.5,3.25,0.3,24,0
13,0.5,4,0,-,5.0,2.5,0.75,25,0
12,0.5,4,0,+,4.5,2.25,0.6,26,0
14,0.5,4,0,+,5.0,2.5,0.9,27,0
1,0.5,4,0,-,2.0,1.0,0.75,28,0
