trial	response	speed	player	ball	direction	goal_size	goal_height	ID	session	block
0	n				-	1.0	-2.0	CK	1	0
1	v				-	2.25	-4.5	CK	1	0
2	v				+	1.75	-3.5	CK	1	0
3	n				-	2.75	-5.5	CK	1	0
4	v				+	4.0	-8.0	CK	1	0
5	v				-	1.0	-2.0	CK	1	0
6	n				-	3.5	-7.0	CK	1	0
7	v				-	1.75	-3.5	CK	1	0
8	v				-	1.25	-2.5	CK	1	0
9	n				+	4.0	-8.0	CK	1	0
0	v				-	3.25	-6.5	CK	1	1
1	n				-	4.0	-8.0	CK	1	1
2	v				+	4.25	-8.5	CK	1	1
3	n				+	3.5	-7.0	CK	1	1
4	n				+	3.75	-7.5	CK	1	1
5	v				-	3.5	-7.0	CK	1	1
6	n				-	2.5	-5.0	CK	1	1
7	v				+	3.25	-6.5	CK	1	1
8	v				-	1.75	-3.5	CK	1	1
9	n				-	2.75	-5.5	CK	1	1
0	v				+	3.0	-6.0	CK	1	2
1	n				+	4.25	-8.5	CK	1	2
2	n				+	2.0	-4.0	CK	1	2
3	v				-	1.0	-2.0	CK	1	2
4	n				+	2.75	-5.5	CK	1	2
5	n				-	4.0	-8.0	CK	1	2
6	v				-	2.0	-4.0	CK	1	2
7	v				+	2.25	-4.5	CK	1	2
8	n				+	4.25	-8.5	CK	1	2
9	n				+	2.5	-5.0	CK	1	2
0	v				-	3.0	-6.0	CK	1	3
1	v				+	1.5	-3.0	CK	1	3
2	n				+	2.25	-4.5	CK	1	3
3	v				-	4.0	-8.0	CK	1	3
4	n				+	3.0	-6.0	CK	1	3
5	n				+	2.25	-4.5	CK	1	3
6	n				-	3.75	-7.5	CK	1	3
7	v				+	4.25	-8.5	CK	1	3
8	v				+	3.25	-6.5	CK	1	3
9	n				+	4.25	-8.5	CK	1	3
0	v				+	3.75	-7.5	CK	1	4
1	n				-	3.75	-7.5	CK	1	4
2	v				-	3.0	-6.0	CK	1	4
3	n				+	4.0	-8.0	CK	1	4
4	n				-	3.75	-7.5	CK	1	4
5	v				-	2.75	-5.5	CK	1	4
6	v				-	3.0	-6.0	CK	1	4
7	n				-	3.75	-7.5	CK	1	4
8	v				+	1.75	-3.5	CK	1	4
9	n				+	3.75	-7.5	CK	1	4
0	n				-	3.75	-7.5	CK	1	5
1	v				+	3.5	-7.0	CK	1	5
2	n				+	4.25	-8.5	CK	1	5
3	v				-	2.5	-5.0	CK	1	5
4	v				-	1.0	-2.0	CK	1	5
5	n				-	3.0	-6.0	CK	1	5
6	v				-	1.5	-3.0	CK	1	5
7	v				-	1.75	-3.5	CK	1	5
8	v				+	1.0	-2.0	CK	1	5
9	n				-	1.0	-2.0	CK	1	5
0	n				+	3.75	-7.5	CK	1	6
1	v				+	4.25	-8.5	CK	1	6
2	n				-	1.75	-3.5	CK	1	6
3	v				+	2.5	-5.0	CK	1	6
4	v				+	3.0	-6.0	CK	1	6
5	n				+	4.0	-8.0	CK	1	6
6	n				+	3.0	-6.0	CK	1	6
7	v				+	1.5	-3.0	CK	1	6
8	v				+	1.5	-3.0	CK	1	6
9	n				+	3.5	-7.0	CK	1	6
